Week Month Year MICAA ARROW DUNCA DWORS FLASF LIBBY ALBEN FLAPO CORRA BROWN GCOUL
16 11 2009 19348059 6402733 1204669 2228832 2653781 5361632 630751 1789739 817000 1351741 9107400
17 11 2009 19190769 6284667 1158900 2227097 2595605 5204442 564899 1788608 817000 1347377 9107400
18 11 2009 19033480 6166601 1113131 2225361 2537430 5047252 499048 1787477 817000 1343013 9107400
19 12 2009 18738836 5954816 1042470 2219460 2423590 4740955 499048 1769824 817000 1329179 9107400
20 12 2009 18444192 5743031 971809 2213560 2309751 4434658 499048 1752171 817000 1315344 9107400
21 12 2009 18149547 5531246 901148 2207659 2195911 4244400 499048 1734518 817000 1301510 9107400
22 12 2009 17854903 5319461 830487 2201758 2083480 3869400 499048 1716865 817000 1287675 9107400
23 1 2010 14406166.5867832 2011192.49635392 374128.983963894 2107940 1850189.64509487 2406125.70235892 499048 1657718 810693 1255979 9107400
24 1 2010 14393020.0071881 2002823.09442018 372536.24978934 2107940 1818038.41024625 2398527 499048 1598571 804386 1224283 9107400
25 1 2010 14379019.1868688 2000594.28177334 372287.483203734 2107940 1794425.15124193 2398527 499048 1539424 779185 1192587 9107400
26 1 2010 14364140.3032165 1995624.30723186 370772.981130565 2107940 1765895.45119875 2398527 499048 1480277 741641 1160891 9107400
27 1 2010 14348367.177082 1975503.64357796 366881.636317072 2107940 1734638.25187847 2309400 499048 1421130 704096 1129195 9107400
28 2 2010 14345724.1841805 1989803.1829741 370172.939469293 2102386 1707356.4047304 2039400 499048 1297560 670000 1117691 9107400
29 2 2010 14342375.2896803 2001365.66709534 372050.402796682 2096833 1683112.29967074 1769400 499048 1173990 626375 1106187 9107400
30 2 2010 14338324.7972059 2013749.74091055 322197.367753242 2091279 1664957.41489388 1499400 499048 1050419 582750 1094683 9107400
31 2 2010 14333583.1443037 2023843.04194035 234360.038722397 2085725 1640360.02480902 1229400 499048 926849 539125 1042643.74687077 9107400
32 3 2010 14283754.711133 1988835.74595894 210921.712918419 2096634 1636315.90208915 1059400 499048 838337 495500 1024878.78286921 8710399.3339909
33 3 2010 14234310.4874973 1970702.81231313 187483.387114441 2107543 1632352.38473426 889400 499048 749825 413175 1007113.81886765 8313498.6679818
34 3 2010 14197705.068511 2012395.52386457 187483.387114441 2118452 1667263.33097143 889400 499048 661312 330850 989348.854866097 7916598.0019727
35 3 2010 14173643.6158139 2107910.86549153 187483.387114441 2129361 1741424.69922779 889400 499048 572800 248525 971583.890864539 7519697.3359636
36 4 2010 14186121.6829526 2156900.63679236 370526.819846781 2186386 1797093.27947433 889400 499048 572800 166200 953547.765725638 6983275.27653182
37 4 2010 14272818.8157361 2347420.28726525 402375.651878109 2243411 1922194.90959518 889400 499048 572800 191341 935511.640586738 6446853.21710003
38 4 2010 14433425.8362342 2702838.65613964 456061.940034438 2305726.60668559 2022172.91019127 889400 630751 592932 216482 920623.714009337 5910431.15766825
39 4 2010 14636367.1984051 3116164.68842856 513330 2512455.14100712 2193128.653977 889400 762453 613064 241624 905735.787431937 5374009.09823646
40 5 2010 15016932.1139917 3913796.79784935 558474 2745149 2445721 2720318.78267119 797600 774122 266765 1100514 5374009.09823646
41 5 2010 15447483.317508 4434695 603618 2888475 2575796 3296432.23943811 832747 935180 283646 1137486 5374009.09823646
42 5 2010 15771800.7696918 4851501 648761 3031800 2705872 3847797.37808615 867894 1096237 283646 1174458 9107400
43 5 2010 16175816 5268307 693905 3175126 2835948 4397079.89775862 903041 1257295 283646 1211430 9107400
44 5 2010 16255235 5685114 739049 3318451 2951301.79942409 4776310 938188 1418353 283646 1248402 9107400
45 6 2010 16999135 6059766 828751 3355839 2992380 5004707 1088641 1511765 390555 1287873 9107400
46 6 2010 17743035 6434419 918454 3393226 3018735 5233103 1239094 1605177 417612 1327344 9107400
47 6 2010 18486935 6809071 1008156 3430613 3045090 5461500 1389547 1698588 442753 1366815 9107400
48 6 2010 19195908.2500781 7035992.31874673 1097859 3468000 3071500 5743053 1540000 1792000 467894 1420000 9107400
49 7 2010 19279840.9988942 7023538.00346916 1179619 3353678 3053069 5752127 1540000 1792000 493035 1420000 9107400
50 7 2010 19447887.3020672 7083199.24621276 1261379 3239356 3034638 5869400 1540000 1792000 518176 1420000 9107400
51 7 2010 19852465.5336216 7166173.34250266 1343140 3125033 3016208 5869400 1540000 1792000 543318 1420000 9107400
52 7 2010 20075000 7327300 1424900 3010711 2997777 5869400 1540000 1792000 568459 1420000 9107400
1 8 2010 19553612 7116541 1347699 2896389 2979346 5770433 1540000 1792000 593600 1392402 9107400
2 8 2010 19814306 7221921 1386299 2782067 2960915 5671467 1540000 1792000 638280 1392402 9107400
3 8 2010 20075000 7327300 1424900 2667744 2942485 5572500 1540000 1792000 682960 1392402 9107400
4 8 2010 20073116 7321562 1423330 2553422 2924054 5473533 1540000 1792000 711282 1392402 9107400
5 8 2010 20071231 7315823 1421759 2439100 2905623 5374567 1540000 1792000 711282 1392402 9107400
6 9 2010 20040487 7239906 1410701 2387014 2887192 5275600 1482126 1792000 737712 1381394 9107400
7 9 2010 20009744 7163989 1399644 2334849 2868762 5176633 1424251 1792000 764141 1370386 9107400
8 9 2010 19979000 7088071 1388586 2282683 2801321 5077667 1366377 1792000 790571 1359377 9107400
9 9 2010 19948256 7012154 1377528 2230518 2726227 5639913 1308502 1792000 817000 1348369 9107400
10 10 2010 19891132 6937496 1361264 2230875 2735008 5647133 1199292 1792000 817000 1350789 9107400
11 10 2010 19834008 6862838 1344999 2231232 2743789 5654353 1090082 1792000 817000 1353209 9107400
12 10 2010 19776885 6788181 1328735 2231589 2752570 5661572 980873 1792000 817000 1355628 9107400
13 10 2010 19719761 6713523 1312470 2231946 2761350 5668792 871663 1792000 817000 1358048 9107400
14 10 2010 19662637 6638865 1296206 2232303 2770131 5676012 762453 1792000 817000 1360468 9107400
15 11 2010 19505348 6520799 1250437 2230568 2711956 5518822 696602 1790869 817000 1356104 9107400
16 11 2010 19348059 6402733 1204669 2228832 2653781 5361632 630751 1789739 817000 1351741 9107400
17 11 2010 19190769 6284667 1158900 2227097 2595605 5204442 564899 1788608 817000 1347377 9107400
18 11 2010 19033480 6166601 1113131 2225361 2537430 5047252 499048 1787477 817000 1343013 9107400
19 12 2010 18738836 5954816 1042470 2219460 2423590 4740955 499048 1769824 817000 1329179 9107400
