"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1981-04-05 4 36 5 1981 1533305.45071224 0 500 0 0 0 52968.961401498 0 NA 0 NA NA 0 0 0 10000003223.0747 370323.879857757 796719.314875627
1981-04-12 4 37 12 1981 1865662.73060324 0 500 0 0 0 60275.650027124 0 NA 0 NA NA 0 0 0 10000003401.7985 285626.498826791 689779.994775756
1981-04-19 4 38 19 1981 1552592.26078325 0 500 0 0 0 64646.369762039 70934.524753266 NA 0 NA NA 9.31322574615479e-10 0 0 10000002304.2607 258058.022462916 556049.183590226
1981-04-26 4 39 26 1981 1762926.67748608 0 500 0 0 0 68898.50769893 0 NA 0 NA NA 0 0 0 10000001201.6396 393063.197237502 668629.630423943
1981-05-03 5 40 3 1981 2271058.47823158 0 0 0 0 80498.0627107765 38440.4670685291 9.31322574615479e-10 NA 0 NA NA 0 0 0 10000000572.3541 445073.253913197 1960061.35823157
1981-05-10 5 41 10 1981 1931919.66464851 0 1899724.73210274 1899724.73210274 683094.38025651 164614.513566519 34566.84828665 0 NA 0 NA NA 704699.46650747 703712.01939284 987.447114630602 428878.766624196 449033.316149842 2313574.17894763
1981-05-17 5 42 17 1981 1391493.97348395 0 661308.189726311 661308.189726311 658633.525968667 245542 50493.97922327 0 NA 0 NA NA 0 0 0 428878.766624196 298264.91810301 1253961.21762672
1981-05-24 5 43 24 1981 1977959.27623619 0 1091917.60651153 1091917.60651153 933387.056786872 202791.961711865 54530.083355285 0 NA 0 NA NA 0 0 0 435906.331082033 320984.191711865 1518496.05678687
1981-05-31 5 44 31 1981 1690943.44966847 0 563290.053547936 562259.504164672 0 53514.7518552307 27937.863813289 0 NA 0 NA NA 0 0 0 443596.027256273 392475.090557599 2215513.2225726
1981-06-07 6 45 7 1981 1266938.21837175 0 1178467.47020842 1107261.53020843 18854.9366055904 24333.5950184742 53119.06754951 0 NA 0 NA NA 652804.379919602 429613.357742466 223191.022177136 474420.355726535 476421.312168683 1850171.21555728
1981-06-14 6 46 14 1981 1309481.88185083 0 1442381.51178152 1301728.25733849 104981.982435884 0 65987.879973206 0 NA 0 NA NA 589623.394182269 438770.870588457 150852.523593812 501776.471850237 271732.809760117 1734990.15231117
1981-06-21 6 47 21 1981 2055641.35695766 0 1539843.4886245 1434031.30508174 634585.04686401 0 67978.002743993 0 NA 0 NA NA 366592.85815511 93412 273180.85815511 513609.863876981 479113.703026106 1420030.83907175
1981-06-28 6 48 28 1981 516159.302940562 0 598463.034189871 540399.224302854 0 0 65281.656001539 0 NA 0 NA NA 420649.021280819 0 420649.021280819 517440.730865706 282174.867766872 1962692.55475618
1981-07-05 7 49 5 1981 348110.417622707 0 627292.915367819 423258.600000002 0 0 77135.973069812 0 NA 0 NA NA 423258.600000002 0 423258.600000002 538267.434655555 218636.379533477 1500798.71221791
1981-07-12 7 50 12 1981 389458.673857905 0 574033.066693696 411119.71370317 0 0 83466.567804638 0 NA 0 NA NA 336399.68391693 0 336399.68391693 553568.952667357 249538.680211808 1790567.87181804
1981-07-19 7 51 19 1981 228839.5 0 354844.46089989 262983.63355156 0 0 79694.616150508 0 NA 0 NA NA 262983.63355156 117071 145912.63355156 611776.399224753 163021.733638348 1948436.26673441
1981-07-26 7 52 26 1981 386465.483255154 0 234142 234142 0 0 81538.97252498 0 NA 0 NA NA 75796.2262722515 75796.2262722515 0 654365.891346198 118640.290275993 1774406.71084133
1981-08-02 8 1 2 1981 758822.752606141 0 287960 0 0 27598 82615.350373262 0 NA 0 NA NA 210759 0 0 10000077054.5026 103474.701036195 1975871.26658664
1981-08-09 8 2 9 1981 961899.064787495 0 143980 0 0 27598 79031.540549854 0 NA 0 NA NA 105379 0 0 10000065581.7539 150091.236209165 1845492.67801875
1981-08-16 8 3 16 1981 952778.378369477 0 0 0 0 27598 80800.987630914 0 NA 0 NA NA 0 0 0 10000059710.1358 127733.546084484 1243314.57331548
1981-08-23 8 4 23 1981 1015282.59978822 0 9192 0 0 27598 86732.741677161 0 NA 0 NA NA 0 0 0 10000054137.6579 121572.550898428 1466383.03806042
1981-08-30 8 5 30 1981 1120332.68499 0 18387 0 0 13169.0070209908 95524.364403142 0 NA 0 NA NA 0 0 0 10000048292.0561 108693.371424133 1303462.36235601
1981-09-06 9 6 6 1981 1428123.75874865 0 136106 0 0 0 79113.412899558 0 NA 0 NA NA 0 0 0 10000044079.8165 144193.902775963 1097905.16889489
1981-09-13 9 7 13 1981 1598580.72140486 0 253823 0 0 0 89438.786771567 0 NA 0 NA NA 0 0 0 10000044588.0744 138602.725816164 850399.477926261
1981-09-20 9 8 20 1981 1888548.42567563 0 367639.138132461 0 0 0 96768.51494318 0 NA 0 NA NA 9.31322574615479e-10 0 0 10000045096.3324 132161.408018013 437165.792761288
1981-09-27 9 9 27 1981 1970624.07098049 0 455615.135402375 0 0 0 101642.900200214 0 NA 0 NA NA 0 0 0 10000045604.5567 181146.15467024 338400.977684955
1981-10-04 10 10 4 1981 1945094.94096447 0 275385.614072695 0 0 0 71170.940659405 0 NA 0 NA NA 0 0 0 10000046112.8146 199094.638327065 427275.141004419
1981-10-11 10 11 11 1981 1988823.70428654 0 333942.560488768 0 0 0 71921.587132542 0 NA 0 NA NA 0 0 0 10000046663.3742 153874.985673341 605848.598568722
1981-10-18 10 12 18 1981 1545170.11220921 0 217861.958878471 0 0 0 76728.871835494 0 NA 0 NA NA 9.31322574615479e-10 0 0 10000047213.9337 264106.143697439 644076.165483126
1981-10-25 10 13 25 1981 1636209.9274534 0 149613.590448733 0 5327.88787313551 0 61589.754160416 0 NA 0 NA NA 0 0 0 10000047764.5269 237640.867338172 440475.887873135
1981-11-01 11 14 1 1981 1805025.17246145 0 283855.134525348 922720.134525348 0 0 73660.518284347 0 NA 0 NA NA 0 0 0 10000045882.1548 445936.621734811 300649.317910738
1981-11-08 11 15 8 1981 2629814.75209349 0 407174.301178348 943324.05938978 16441.8165500332 0 0 0 NA 0 NA NA 0 0 0 10000043373.6918 86020.1797249375 432955.816550034
1981-11-15 11 16 15 1981 2511451.69281804 0 41244.0848882888 196018.259722167 0 0 0 0 NA 0 NA NA 0 0 0 10000027576.7508 87396.2044935722 222086.654681794
1981-11-22 11 17 22 1981 2608293.16620739 0 209481.423993782 283734.954124806 0 0 67625.696752298 0 NA 0 NA NA 0 0 0 10000026156.0567 282185.620057335 357602.771203305
1981-11-29 11 18 29 1981 2258162.99036142 0 205551.632277662 269756.826535359 0 0 76103.5693646501 0 NA 0 NA NA 0 0 0 10000024735.3626 624383.793318705 418189.82653536
1981-12-06 12 19 6 1981 3465801.16006996 0 558482.27277645 2163336.75905283 0 0 54904.577303325 0 NA 0 NA NA 0 0 0 10000023451.7348 230360.684737739 431839.602696068
1981-12-13 12 20 13 1981 3279086.75057421 0 290703.799984003 1911600.39228752 0 0 58871.524912107 0 NA 0 NA NA 0 0 0 10000019428.0369 221118.15119959 613655.392287519
1981-12-20 12 21 20 1981 2575538.83788079 0 185441.394272435 1691544.7105338 66604.703112524 0 58987.329883227 0 NA 0 NA NA 0 0 0 10000018239.6479 330802.188936185 592104.99387753
1981-12-27 12 22 27 1981 2053597.49536241 0 378577.836868427 1683333.33603433 245273 0 47086.3961769841 0 NA 0 NA NA 0 0 0 10000018111.7949 634310.209449211 686223.549140188
1982-01-03 1 23 3 1982 3512119.54557876 0 4250256.53952904 494620.860911768 460361.576139966 0 51572.146667975 0 NA 42132.4372165327 NA NA 810795.954135401 0 0 10000018288.3469 459854.690625151 436768.925692258
