"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1980-09-14 9 7 14 1980 1112092.32568351 0 119776.513763423 0 0 0 149722.616050763 0 NA 0 NA NA 0 0 0 10000037670.4279 169958.278386397 490192.207661148
1980-09-21 9 8 21 1980 1136706.11259023 0 79494.3320395099 0 0 0 113624.770727067 0 NA 0 NA NA 0 0 0 10000038840.6444 269272.817401239 436599.363264221
1980-09-28 9 9 28 1980 1256913.93258064 0 268698.027155302 0 0 0 95681.731160936 0 NA 0 NA NA 0 0 0 10000040010.8249 141747.619945321 373366.48082466
1980-10-05 10 10 5 1980 1407284.70135174 0 273098.942525748 0 0 0 71303.457785379 0 NA 0 NA NA 0 0 0 10000041181.0414 108257.117147762 201946.551574503
1980-10-12 10 11 12 1980 1596792.28589804 0 185349.635768694 0 0 0 72489.013727845 0 NA 0 NA NA 0 0 0 10000042396.5343 90124.4122140215 352974.371358799
1980-10-19 10 12 19 1980 1589057.26680168 0 163694.581682081 0 0 0 73307.571098513 0 NA 0 NA NA 0 0 0 10000043611.9913 111911.914317175 324172.209834824
1980-10-26 10 13 26 1980 1515133.86939276 0 181897.65979667 0 0 0 68649.729969134 0 NA 0 NA NA 0 0 0 10000044827.4843 208749.446701499 327962.765200308
1980-11-02 11 14 2 1980 1510183.84691275 0 175628.842774001 814493.842774001 0 0 70384.944452939 0 NA 0 NA NA 0 0 0 10000044067.6305 166883.698496731 372021.95706371
1980-11-09 11 15 9 1980 2738176.7406863 0 436512.310213941 871527.987105412 0 0 77171.616211711 0 NA 0 NA NA 0 0 0 10000041384.8932 115921.247045193 245283.274612198
1980-11-16 11 16 16 1980 2026575.48563678 0 127173.150600778 471948.882609896 26085.1294412203 0 73540.917679926 0 NA 0 NA NA 0 0 0 10000026088.3812 136349.172396119 482005.12944122
1980-11-23 11 17 23 1980 2210694.23188096 0 97063.1333930385 217545.768703292 0 0 73657.970023356 0 NA 0 NA NA 0 0 0 10000024568.9851 166773.405553816 330241.363049822
1980-11-30 11 18 30 1980 2518256.98299575 0 225266.700399281 249440.957477836 0 0 76056.095977155 0 NA 0 NA NA 0 0 0 10000023239.6712 184789.732496031 397873.957477836
1980-12-07 12 19 7 1980 3970694.73442218 0 583771.627326266 2247522.68613676 0 0 68659.400314211 0 NA 0 NA NA 0 0 0 10000022024.1543 136085.54122576 533230.920807729
1980-12-14 12 20 14 1980 3499019.75917007 0 309028.644486767 1508061.70112064 0 0 59539.0989957851 0 NA 0 NA NA 0 0 0 10000015617.8175 191485.914661038 520851.634326085
1980-12-21 12 21 21 1980 3402928.85539383 0 127944.339177281 917500.154889507 0 0 66293.552356452 0 NA 0 NA NA 0 0 0 10000011617.2861 133195.441529973 496503.801138492
1980-12-28 12 22 28 1980 2649104.8242325 0 356339.764557891 594477.74911446 216583.090155033 0 65899.794339246 0 NA 0 NA NA 0 0 0 10000008547.5179 198582.116015948 809510.090155033
1981-01-04 1 23 4 1981 2253848.45935014 0 3183452.1562056 364543 0 0 52856.39897829 0 NA 101146.710855632 NA NA 1104966.56345289 0 0 10000008718.6341 279263.067893841 1314806.30274349
1981-01-11 1 24 11 1981 2865815.16957616 0 2626786.2580243 265466.872503508 167328.279681278 0 69574.122754963 0 NA 228540.68094204 NA NA 710905.454776311 0 0 10000009287.88 175215.871029864 898149.309050618
1981-01-18 1 25 18 1981 4165583.11242453 0 2066167.30242154 551471.637012858 406758.420917167 0 69545.741611929 0 NA 44554.5126641821 NA NA 128733.902516209 0 0 10000008477.5038 165084.761707471 691187.51174733
1981-01-25 1 26 25 1981 3377493.61110195 0 1087672.80969919 549014.710000234 419563.511325574 0 68835.150244922 0 NA 0 NA NA 0 0 0 10000004787.7261 175230.266911645 707343.608809365
