"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
1986-01-19 1 25 19 1986 1527748.30167954 NA 815359.156543388 1461224.79545661 13456.1078602218 1010180 325951.593168198
1986-01-26 1 26 26 1986 1856453.25476866 NA 748803.826514264 1527780.12548574 20516.9719936812 1010180 497233.467312656
1986-02-02 2 27 2 1986 1882314.887739 NA 770907.944492068 1505676.00750793 12032.7888965253 1022900 344157.036696259
1986-02-09 2 28 9 1986 1695989.86572644 NA 0 2211127.70669316 252781.730637274 999530.965306844 705592.664680769
1986-02-16 2 29 16 1986 1475065.59034645 NA 820673.353147568 1297125.31885243 10372.0870216061 1022900 365836.602066819
1986-02-23 2 30 23 1986 1210287.20004393 NA 982019.205852675 1135779.46614732 18520.1298410686 1022900 423821.164027984
1986-03-02 3 31 2 1986 1407687.30469853 NA 0 2192701.04006788 166319.28626281 947997.631932116 526003.215966112
1986-03-09 3 32 9 1986 1886839.83514514 NA 0 2213258.57729919 523242.279640387 741358.830700807 950067.400100045
1986-03-16 3 33 16 1986 2140525.1587857 NA 0 2318124.21828098 776560.035261412 636493.18971902 1264752.37364754
1986-03-23 3 34 23 1986 1912003.13152705 NA 0 2030259.78309908 589915.105742022 946617.624900916 1074364.54669103
1986-03-30 3 35 30 1986 1943574.64461378 NA 0 1919907.93317574 171337.22003032 1056969.47482426 646122.074712325
1986-04-06 4 36 6 1986 3203124.68152308 NA 0 2664201.53284579 267320.210465346 243044.307154213 1120460.30933296
1986-04-13 4 37 13 1986 3837173.96233573 NA 0 3471101.04178391 304887.181418392 0 844766.992648898
1986-04-20 4 38 20 1986 4032960.91560692 NA 0 3614840.77915121 815233.077255104 0 1230879.43249618
1986-04-27 4 39 27 1986 4771993.52969685 NA 0 3038991.82287269 614260.852600878 48872.2731273086 1022561.03107336
1986-05-04 5 40 4 1986 4108433.82917541 NA 0 3626808.53518923 300951.517614074 0 746229.046763827
1986-05-11 5 41 11 1986 3874000.16027895 NA 275810.575481728 1824124.75251827 182270.24844793 1250800 815966.839712199
1986-05-18 5 42 18 1986 3516711.94676029 NA 0 2189205.53964999 43335.6770362997 1161529.78835001 840887.473475886
1986-05-25 5 43 25 1986 3603490.23339414 NA 566774.402201604 1533160.9257984 0 1250800 392014.343131893
1986-06-01 6 44 1 1986 5179527.53616311 NA 416930.36320947 1683004.96479053 0 1250800 801862.677043882
1986-06-08 6 45 8 1986 9629677.91265496 NA 0 2376501.63434437 0 773260.717655628 546647.262962477
1986-06-15 6 46 15 1986 7472447.39503126 NA 0 3312949.54733812 350032.169706764 0 717289.959444796
1986-06-22 6 47 22 1986 47920371.5006014 NA 0 3379752.86862353 375021.53246925 0 559521.689133647
1986-06-29 6 48 29 1986 26051055.2661038 NA 0 2652376.19971069 0 497386.152289313 0
1986-07-06 7 49 6 1986 29030184.310246 NA 0 2512576.64988253 0 440587.91011747 0
1986-07-13 7 50 13 1986 5432831.37837232 NA 0 2840316.80869998 101526.668223799 112847.751300022 101526.668223799
1986-07-20 7 51 20 1986 7568819.76429269 NA 0 2257567.96944896 0 695596.590551045 0
1986-07-27 7 52 27 1986 5320734.26697607 NA 152923.014819248 1901361.54518075 0 898880 0
1986-08-03 8 1 3 1986 11270043.2458188 NA 0 2444650.97879759 0 382815.725202412 0
1986-08-10 8 2 10 1986 8242329.38907828 NA 187669.102743834 1735617.60125617 0 904180 0
1986-08-17 8 3 17 1986 1149144.6526758 NA 382151.591126216 1541135.11287378 0 904180 0
1986-08-24 8 4 24 1986 747140.116560804 NA 332121.561956891 1549484.00604311 0 904180 16281.1222924162
