"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
1952-11-30 11 18 30 1952 1818371.45534736 NA 874698.574234827 1088284.44976517 65823.5509472672 998520 432399.740983042
1952-12-07 12 19 7 1952 2037623.99034456 NA 73878.8912015655 2212629.14079843 483447.521754473 998520 578448.915789662
1952-12-14 12 20 14 1952 2170334.32261403 NA 144685.467356393 2141822.56464361 375728.161517007 998520 531278.972861359
1952-12-21 12 21 21 1952 2472757.00221937 NA 849317.456539557 1437190.57546044 79858.7961684874 998520 370654.600914561
1952-12-28 12 22 28 1952 2244887.37846514 NA 792295.918274154 1494212.11372585 76984.68840468 998520 409183.471588032
1953-01-04 1 23 4 1953 2851774.73282128 NA 859269.98286651 1417313.96913349 3699507.7962646 1010180 4776275.65546612
1953-01-11 1 24 11 1953 1944193.47759275 NA 498468.600708243 1778115.35129176 1984987.30112094 1010180 2807015.55172772
1953-01-18 1 25 18 1953 1199971.60638698 NA 497988.525870765 1778595.42612924 512888.849124541 1010180 1191211.42415188
1953-01-25 1 26 25 1953 824895.462551284 NA 756808.206953217 1519775.74504678 75.8392111964108 1010180 282681.410393957
1953-02-01 2 27 1 1953 1246555.89371673 NA 639596.298940805 1636987.65305919 9.85663656997908 1022900 249485.67175197
1953-02-08 2 28 8 1953 1227966.85594112 NA 0 2392478.39386565 1297326.35253459 818180.278134346 1644377.30908686
1953-02-15 2 29 15 1953 1028297.95325672 NA 0 2131787.23823911 11624.8831403902 1008911.43376089 445156.796571728
1953-02-22 2 30 22 1953 985499.153996404 NA 553114.926237021 1564683.74576298 4207.19319424157 1022900 301409.739748819
1953-03-01 3 31 1 1953 776186.386998068 NA 419261.457236019 1698537.21476398 0 1022900 239486.946855002
1953-03-08 3 32 8 1953 781705.029600821 NA 0 2056398.14329019 301299.034695347 898219.264709813 590497.472759791
1953-03-15 3 33 15 1953 612858.820255643 NA 0 1931907.7311709 282509.816855432 1022709.6768291 626478.762802018
1953-03-22 3 34 22 1953 1146551.36760243 NA 0 2065252.73123882 608952.312863494 911624.676761177 1202072.42171116
1953-03-29 3 35 29 1953 831088.363722384 NA 0 1913055.13616851 325425.075262365 1063822.27183149 811026.656196664
1953-04-05 4 36 5 1953 837974.112681622 NA 0 2543662.3176097 185899.640682029 363583.5223903 767442.567282603
1953-04-12 4 37 12 1953 714948.137074312 NA 0 2604926.58946832 56164.3868898981 302319.250531679 315871.327341272
1953-04-19 4 38 19 1953 1074369.75526383 NA 0 2816374.30456244 0 271489.791437561 302634.40258194
1953-04-26 4 39 26 1953 1581236.5893474 NA 0 3313676.98335268 21836.4259082935 0 352950.081664662
1953-05-03 5 40 3 1953 1613818.02625683 NA 0 2710289.73808315 0 640445.589916848 304843.496134542
1953-05-10 5 41 10 1953 2787684.96466574 NA 0 3107853.64988242 524034.753577068 242881.678117577 936291.632609848
1953-05-17 5 42 17 1953 2390175.78126709 NA 0 2818950.38082345 0 531784.947176545 535354.264050095
1953-05-24 5 43 24 1953 4772069.01396088 NA 0 3369205.61138249 0 0 906975.825750544
1953-05-31 5 44 31 1953 7229585.76194312 NA 0 2707978.50362943 1439851.63138294 642756.824370566 2418281.77418555
1953-06-07 6 45 7 1953 5816513.82130883 NA 0 2697331.02626148 1318167.38283286 452431.325738525 2007493.32593988
1953-06-14 6 46 14 1953 20947452.6825192 NA 0 3342512.76576362 55638.2232476646 0 640233.236578287
1953-06-21 6 47 21 1953 6452055.76261837 NA 0 3121620.64977557 88555.00850919 28141.7022244311 413008.178339605
1953-06-28 6 48 28 1953 5546438.8979543 NA 0 3155920.13294284 0 0 0
1953-07-05 7 49 5 1953 4327333.09687817 NA 0 3108311.03899628 628579.501164063 0 628579.501164063
1953-07-12 7 50 12 1953 16428108.801699 NA 0 3089695.53720127 0 0 0
1953-07-19 7 51 19 1953 7647593.56692063 NA 0 3795866.47594763 197425.775896183 0 197425.775896183
1953-07-26 7 52 26 1953 7351666.03714774 NA 0 3035212.76485035 224204.501790166 0 224204.501790166
1953-08-02 8 1 2 1953 37509633.1605368 NA 0 3216062.0231898 784591.161435916 0 784591.161435916
1953-08-09 8 2 9 1953 57096936.5392901 NA 0 2714722.84345821 0 112743.860541787 0
1953-08-16 8 3 16 1953 1997049.29310014 NA 65813.9309647195 1857472.77303528 0 904180 0
1953-08-23 8 4 23 1953 2292986.44811903 NA 0 2375567.49228125 0 410218.075718745 16300.0472611534
1953-08-30 8 5 30 1953 2394556.67461113 NA 0 3012996.03806814 0 0 60766.8523772342
1953-09-06 9 6 6 1953 1804448.89625689 NA 0 2920209.2965009 168804.394108897 0 318968.175148596
1953-09-13 9 7 13 1953 1971830.76558918 NA 0 2238764.65825533 316230.28150103 490898.973744673 511275.724870751
1953-09-20 9 8 20 1953 2209417.59642038 NA 276384.434103531 1464299.19789647 330562.602264997 988980 774809.479986462
1953-09-27 9 9 27 1953 2409332.02573503 NA 297666.476625239 1443017.15537476 513253.710949426 988980 1000214.01444152
1953-10-04 10 10 4 1953 2493835.31247502 NA 170621.232731533 1456927.88726847 506627.270871193 1125720 852280.991475344
1953-10-11 10 11 11 1953 2824097.89116195 NA 531849.186271868 1095699.93372813 282867.558480947 1125720 949865.091811682
1953-10-18 10 12 18 1953 3185450.01662676 NA 35990.6629567768 1591558.45704322 807300.666887871 1125720 1078541.45653754
1953-10-25 10 13 25 1953 3365219.55020403 NA 240438.635962405 1387110.48403759 615800.255260562 1125720 1025519.65722786
1953-11-01 11 14 1 1953 3310853.24333293 NA 651135.07254238 976414.04745762 266481.076713973 1203100 739620.14764123
1953-11-08 11 15 8 1953 3772574.44038794 NA 119866.396162923 1843116.62783708 394737.915586198 1203100 620485.250918767
1953-11-15 11 16 15 1953 3891035.37659115 NA 677612.77244235 1285370.25155765 325417.242709272 1106640 947404.125964906
1953-11-22 11 17 22 1953 3831947.47620338 NA 798978.15027183 1164004.87372817 257156.757260904 1106640 700685.152384423
1953-11-29 11 18 29 1953 3662111.18446922 NA 850954.039448515 1112028.98455149 225741.164603299 998520 543203.05197524
1953-12-06 12 19 6 1953 3944325.77885891 NA 78126.3325440111 2208381.69945599 577457.43029474 998520 715719.692649404
