"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1995-10-29 10 13 29 1995 1842804.71979421 0 218400.572968222 0 0 0 72317.942474629 0 NA 0 NA NA 0 0 0 10000052375.4926 150399.282933564 397005.186548657
1995-11-05 11 14 5 1995 1951657.44032317 0 254243.34769086 893108.34769086 0 0 75037.721738123 0 NA 0 NA NA 9.31322574615479e-10 0 0 10000051547.0712 115661.128280009 289771.758812512
1995-11-12 11 15 12 1995 2434603.10360702 0 551848.344210744 886475.344210744 52790.0104227532 0 76781.494653642 0 NA 0 NA NA 0 0 0 10000048622.2493 71907.7920247958 469304.010422753
1995-11-19 11 16 19 1995 2349482.16362938 0 418301.61798678 686891.099525752 21007.9107034504 0 77655.012870094 0 NA 0 NA NA 0 0 0 10000041569.5487 379704.705164405 437521.91070345
1995-11-26 11 17 26 1995 2365342.14770395 0 472948.623887132 610844.240562315 0 0 57217.798570696 0 NA 0 NA NA 9.31322574615479e-10 0 0 10000035598.8742 234356.195177756 439607.717065416
1995-12-03 12 18 3 1995 2496502.99930774 0 738108.272191871 943767.387582408 91081.9833384167 0 73092.294726798 0 NA 18422.3414636367 NA NA 1.86264514923096e-09 0 0 10000037375.2337 156563.992633309 632002.525995717
1995-12-10 12 19 10 1995 2948685.44195494 0 939519.187472757 2833489.76846748 183984 0 75566.184227572 0 NA 0 NA NA 0 0 0 10000035637.9384 179321.164035122 597278.46977308
1995-12-17 12 20 17 1995 3243227.15503541 0 871653.634008416 2574537.1065668 193851.056851834 0 75161.640630164 0 NA 0 NA NA 0 0 0 10000031772.1053 168777.911977832 589936.056851834
1995-12-24 12 21 24 1995 2883846.86157332 0 518719.533921559 2100692.39397762 224843 0 79802.756728952 0 NA 0 NA NA 0 0 0 10000025307.4043 189468.65359842 712659.037335163
1995-12-31 12 22 31 1995 2942506.55023895 0 426469.059098604 1700261.66222263 160020.654516189 0 74248.53788505 0 NA 16947.5173686604 NA NA 1.86264514923096e-09 0 0 10000021041.7397 173877.56010693 784405.235008553
1996-01-07 1 23 7 1996 3462668.86374332 0 5105276.71263353 299370.284775946 432237.785259449 0 69382.422520283 0 NA 153208.104427927 NA NA 806179.855517218 0 0 10000019244.829 109487.711019011 555507.73032508
1996-01-14 1 24 14 1996 4557128.92644729 0 4254961.02713888 551035.555579585 460840.575834022 0 73447.581109109 0 NA 27741.9297879437 NA NA 363834.302815774 0 0 10000016447.7139 148199.475086964 555155.116753201
1996-01-21 1 25 21 1996 4236376.82986442 0 3210547.58397587 548318.293009154 370941.38265509 0 63782.458502772 0 NA 28705.5229744021 NA NA 314591.434388376 0 0 10000011601.2533 163774.11917843 672144.797260958
1996-01-28 1 26 28 1996 4787108.4738134 0 2305535.25767619 708946.404247027 282047.445776749 0 71818.158608549 0 NA 0 NA NA 8731.58998440718 0 0 10000009490.8284 130985.223889894 540427.495389611
