"Week" "Month" "Day" "Year" "ALBEN" "ARROW" "BONFE" "BONNE" "BOUND" "BROWN" "CABIN" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "JDAYY" "LIBBY" "LGOOS" "LGRAN" "LMONU" "MCNAR" "MICAA" "NOXON" "OXBOW" "PALIS" "PRIRA" "REVEL" "RISLA" "ROCKY" "WANAP" "WELLS" "LUCKY" "AMERI" "MINAD" "THOMF" "CHELA" "BOXCA" "JLAKE" "IPARK" "RIRDM" "PAYHS" "MILNE" "OWYHE" "PELTO" "BoiseSys" "Minidoka" "Owyhee" "UpSnake" "Payette" "SNKHE" "HFORK" "LIMEP"
8 9 24 2017 427.758555525325 73.2734283463265 67.5635533526997 4238.84327995991 7.61482194961193 111513.362878975 0 293.716496165764 0 1468.00099119348 1676.78379597093 0 0 2086.80017640424 0 54145.6573310302 1735.21653653313 700.175046267932 6524.23108532761 0 10.8099731569757 20357.1667958451 2297.46666451751 41554.6160108442 0 0 0 2981.91884566829 1488.65594823974 0 1253.71762805448 1293.53996310438 570.135674978757 4927.12349591399 865.029270097822 55169.5625452616 11124.9394254693 33838.9260542171 339.959333401491 0 0 0 820.928568528995 420.12746069338 7678.39834257296 1782.33451074555 14570.9147547569 10749.0362554925 51927.7627905092 3227.65549887201 47743.4587336114 5546.51433077176 780.690892042632 7466.34148813664 9188.36964086089
9 10 1 2017 55.7666362322324 114.984969788473 28.8268357084055 2325.93356512256 3.46924973569725 122172.68630885 0 169.702498661303 0 466.752000865722 1575.69805585892 0 0 2934.8419572631 0 33902.9025597786 255.059754428754 507.687726474986 13842.896427183 446.565280635227 4.23513418713859 22054.8924983215 2057.87418712217 21997.080948273 0 0 0 4667.36312802638 1381.85502934194 0 980.062736211052 1246.22892359497 534.324005693175 3114.28188641627 673.434326900914 50898.1001764337 4900.70702659268 17204.813598799 60.6412730320066 0 0 0 1219.98187096486 446.279624651646 3044.26226236125 3148.81796866646 5201.22260951681 16606.1094596666 43227.5705174628 6951.22909440377 42975.7041008116 6476.49978930937 522.736837754493 8619.64110883253 15210.8703494171
10 10 8 2017 55.7666362322324 0 0 5075.67361478919 3.46924973569725 112957.730628557 0 36.8211541047586 0 141.535003391253 2130.56378295194 0 0 2214.49999108658 0 25706.6724260651 200.112097044931 1144.07397432954 9169.01486636036 65.9347207403777 4.23513418713859 9832.50757961447 1239.42822539939 12697.9930724091 0 0 0 2759.81970819418 977.772739346783 0 936.595163793583 939.291446728106 212.921442809497 3032.47894672928 673.434326900914 25663.182784117 4886.40333997945 8440.57352753474 0 0 0 0 273.626964873647 228.612517662941 8599.38745764964 3801.22607113852 2901.44101228822 24761.4206875938 37729.4790803963 7715.44638163147 18174.9786192729 16762.1393317784 531.29333712301 7230.53779259475 6139.17383297917
11 10 15 2017 55.7666362322324 0 0 3546.11897256252 3.46924973569725 50010.8798591295 0 227.62074607425 0 0 1117.80739826659 0 0 0 0 22388.3810018972 54.8410833151123 385.825316145266 6253.66209195068 0 4.23513418713859 1392.77036509929 456.092447587181 13826.8937449517 0 0 0 0 797.984397760122 0 237.207826743354 451.785184678599 387.361651246117 2745.67617418768 445.932664646446 1112.46677626491 1236.80349134779 57.2614675478629 51.4412468661758 0 0 0 0 0 2254.28397128289 1219.37456109569 1662.79354216472 16089.2630444101 11613.5128115799 4197.74603531588 1112.46677626491 5112.50902620566 0 0 0
12 10 22 2017 55.7666362322324 0 0 1346.54805011456 3.46924973569725 57688.5777108939 0 22.3852990988646 0 156.024393815154 1972.49901871784 0 0 0 0 20969.3250086973 93.6044982716269 208.455753271249 4781.4900033305 0 4.23513418713859 787.808294255459 842.701625938864 13137.5664933002 0 0 0 0 635.143254970616 0 1192.45880045763 821.098803693738 233.287328307645 2602.24285419484 0 2692.12500105224 267.208386052743 0 344.446575561235 0 0 0 80.8791994962872 72.5716742415367 1289.52696290407 1263.4380547113 2674.11415010118 17090.9518920377 14750.404002082 4026.60408777194 2763.92398572078 6007.15579049122 9.0802148277441 0 0
13 10 29 2017 55.7666362322324 0 0 234.780292420688 3.46924973569725 47416.365327839 0 36.8211541047586 0 120.256037502528 2040.73852988807 0 0 0 0 13935.6602502178 31.9863948141736 314.066837452756 3802.69393623305 0 4.23513418713859 1738.30766157736 899.845109802731 9157.02766667686 0 0 0 0 461.071223695576 0 1005.70349414791 96.9748700182105 119.012715957715 1078.33039527828 0 252.154427347447 25.4974447516167 48.563909711589 0 0 0 0 0 0 1204.2653045496 784.314824590576 740.835457980755 9696.18493520357 11325.0917078242 3514.12424955027 162.312013748474 5890.58906683082 0 89.8424135989734 0
14 11 5 2017 43.7135645758341 0 0 437.392232640902 1.83683883608514 8875.54669086394 0 1.96841676155451 0 0 134.487460707681 0 0 0 0 2363.59244011765 0 4.5743047766738 594.205665821274 0 1.38770351618956 147.795861497809 104.40254334778 2620.29359980396 0 0 0 0 126.040884248711 0 111.638548055445 14.9241966932515 80.9454987445551 165.309797258207 0 0 78.0188290175011 0 4.72834695329338 0 0 0 0 0 336.42319931252 0 144.52380990366 1573.97590626359 2951.06766151662 775.032707243612 0 428.893385178663 0 0 0
15 11 12 2017 43.7135645758341 0 0 31.0483944484799 1.83683883608514 0 0 1.96841676155451 0 0 3.36097628051987 0 0 0 0 708.797206038255 0 4.5743047766738 57.8266865045689 0 1.38770351618956 4.2057448797743 73.285286928388 742.7887961901 0 0 0 0 70.1982344235928 0 111.638548055445 14.9241966932515 80.9454987445551 38.7869698573712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 11 19 2017 43.7135645758341 0 0 31.0483944484799 1.83683883608514 0 0 1.96841676155451 0 0 3.36097628051987 0 0 0 0 708.797206038255 0 4.5743047766738 57.8266865045689 0 1.38770351618956 4.2057448797743 73.285286928388 742.7887961901 0 0 0 0 70.1982344235928 0 111.638548055445 14.9241966932515 80.9454987445551 38.7869698573712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 11 26 2017 43.7135645758341 0 0 31.0483944484799 1.83683883608514 0 0 1.96841676155451 0 0 3.36097628051987 0 0 0 0 708.797206038255 0 4.5743047766738 57.8266865045689 0 1.38770351618956 4.2057448797743 73.285286928388 742.7887961901 0 0 0 0 70.1982344235928 0 111.638548055445 14.9241966932515 80.9454987445551 38.7869698573712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
