"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1982-02-21 2 30 21 1982 0 19778463.186173 3218947.9872834 0 2393393.97525599 3228946.9872834 0
1982-02-28 2 31 28 1982 0 20444711.9211529 3684633.33973164 0 1838552.28663396 3694632.33973164 425847.71336604
1982-03-07 3 32 7 1982 0 17503032.2355047 3304336.95333421 0 3723111.14632577 3314335.95333421 0
1982-03-14 3 33 14 1982 0 17206606.9066407 3527097.27898681 0 2250479.4295891 3537096.27898681 906120.570410904
1982-03-21 3 34 21 1982 0 16353659.3025422 3024569.54360589 0 1815033.75672803 3034568.54360589 1242266.24327197
1982-03-28 3 35 28 1982 0 15189339.1490563 2211749.08312741 0 1768772.85812979 2221748.08312741 1189227.14187021
1982-04-04 4 36 4 1982 0 12896382.6367113 1039527.17284926 0 2569275.83413032 1049526.17284926 207224.165869675
1982-04-11 4 37 11 1982 0 12705820.3232732 1128080.84873265 0 2324840.74885227 1138079.84873265 391359.251147727
1982-04-18 4 38 18 1982 0 12515693.6796161 976328.031515162 0 2155317.06388665 986327.031515162 500582.93611335
1982-04-25 4 39 25 1982 0 12436886.3827764 886745.178916398 0 2768921.01359732 896744.178916398 0
1982-05-02 5 40 2 1982 0 13321605.8668436 142833.120758493 0 2521951.58926533 152832.120758493 0
1982-05-09 5 41 9 1982 0 14482609.9822975 404437.471354466 0 2565528.29994253 414436.471354466 0
1982-05-16 5 42 16 1982 0 17864273.1676842 1228458.65178123 0 2960844.28966569 1238457.65178123 0
1982-05-23 5 43 23 1982 0 22681241.5455368 2829136.5765366 0 3306194.51171391 2839135.5765366 0
1982-05-30 5 44 30 1982 0 26585387.8980206 4095309.29290433 0 3310021.74699444 4105308.29290433 0
1982-06-06 6 45 6 1982 0 182829611.429067 1286762.71143257 0 3065325.04325924 1296761.71143257 0
1982-06-13 6 46 13 1982 0 35715102.2682901 2084573.1301114 0 4417194.97174915 2094572.1301114 0
1982-06-20 6 47 20 1982 0 38417521.8185324 3569642.98293522 0 4717743.65073087 3579641.98293522 0
1982-06-27 6 48 27 1982 0 40687154.6895297 3243537.61907792 0 4637328.87385293 3253536.61907792 0
1982-07-04 7 49 4 1982 0 42381991.9131073 2858241.94911506 0 4443292.34883535 2868240.94911506 0
1982-07-11 7 50 11 1982 0 43670031.5491196 3137322.09713735 0 4395120.96601186 3147321.09713735 0
1982-07-18 7 51 18 1982 0 43886985.2445735 1882424.61536259 0 3982688.59098383 1892423.61536259 0
1982-07-25 7 52 25 1982 0 43879581.7990958 0 0 3222817.44337107 9999 601582.556628934
1982-08-01 8 1 1 1982 0 50304857.2789453 4336091.08693665 0 3173053.82827309 4346090.08693665 0
1982-08-08 8 2 8 1982 0 166033894.502942 3929025.45758126 0 3407714.97810057 3939024.45758126 0
1982-08-15 8 3 15 1982 0 280643167.074601 3220906.67439731 0 3286688.3704401 3230905.67439731 0
1982-08-22 8 4 22 1982 0 302132145.175855 2575688.89986972 0 3350692.75590081 2585687.89986972 0
1982-08-29 8 5 29 1982 0 238773524.294779 2368411.70450661 0 2237047.89566441 2378410.70450661 0
1982-09-05 9 6 5 1982 0 40971649.2977408 3640420.68677427 0 1375846.4507616 3650419.68677427 57553.5492384005
1982-09-12 9 7 12 1982 0 41292712.4059528 3694317.12941008 0 1394701.15061049 3704316.12941008 81898.8493895149
1982-09-19 9 8 19 1982 31836.2505486871 41357585.593703 3698391.15188203 183041.03451278 1168338.96548722 3552539.80649037 181800
1982-09-26 9 9 26 1982 59970.0764784076 41359368.5110195 3666936.07529378 344568.082705189 1050443.91729481 3383674.83545046 181800
1982-10-03 10 10 3 1982 111624.289678731 36357689.2553958 4568597.14424948 549639.108927821 880278.491072179 4120244.13188178 363600
1982-10-10 10 11 10 1982 128653.581667786 35781974.165192 4119855.82610896 625929.122885962 838894.077114039 3610657.65068611 363600
1982-10-17 10 12 17 1982 142602.821517057 35075077.6587982 3602421.79893708 684268.833879899 815459.966120101 3128625.15090901 363600
1982-10-24 10 13 24 1982 145563.95247768 34360798.402195 3132245.70352252 692428.417641297 842205.982358703 2654463.06620844 363600
1982-10-31 10 14 31 1982 152892.062216879 33607658.190031 2582117.81632398 722522.057509414 847017.942490586 2086057.58197695 363600
1982-11-07 11 15 7 1982 0 32601855.2069024 3954461.99248336 0 1832546.79135192 3964460.99248336 2950653.20864808
1982-11-14 11 16 14 1982 0 30346403.0055795 1832065.70712037 0 1895814.13786614 1842064.70712037 2844185.86213386
1982-11-21 11 17 21 1982 0 28703347.8023271 332351.996325927 0 1785807.76998831 342350.996325927 2910992.23001169
1982-11-28 11 18 28 1982 0 28566794.5304468 265717.486136873 0 1733524.67057961 275716.486136873 2920075.32942039
1982-12-05 12 19 5 1982 0 28090154.7711097 2047840.92521461 0 1680441.07757916 2057839.92521461 1624975.12242084
1982-12-12 12 20 12 1982 0 26477806.1801176 966634.233586555 0 1711937.17956995 976633.233586555 1673273.62043005
