"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
2000-05-07 5 41 7 2000 0 900536.243254574 0 1310.41776296835 0 0 0 0 26039.969073926 0 0 26350800 11052783.1133231 1410783.75674543
2000-05-14 5 42 14 2000 0 974969.20022098 0 1564.4333164119 0 21281.0640901111 0 0 28246.0248758572 0 0 28039200 9802309.43628753 1384590.79977902
2000-05-21 5 43 21 2000 0 1000284.93557837 0 0 0 0 0 0 11925.414308557 0 0 29727600 9377005.08228337 1407515.06442163
2000-05-28 5 44 28 2000 0 1043018.02151448 0 0 0 0 0 0 19291.642826021 0 0 31416000 8659089.23855678 1413021.97848552
2000-06-04 6 45 4 2000 0 0 0 0 0 0 0 0 21927.6285782669 0 0 31111500 5040000 1542585.74807544
2000-06-11 6 46 11 2000 0 0 0 0 0 0 0 0 21241.5959329787 0 0 30807000 5040000 1383989.99454828
2000-06-18 6 47 18 2000 0 0 0 0 0 0 0 0 44050.2744596477 0 0 30502500 5040000 1484778.08762627
2000-06-25 6 48 25 2000 0 0 0 0 0 0 0 0 56510.5803217727 0 0 30198000 5040000 1648237.01457304
2000-07-02 7 49 2 2000 0 2242918.49066323 0 0 0 0 0 0 55826.3958262516 0 0 29599500 21868363.7707664 1599781.50933677
2000-07-09 7 50 9 2000 0 2130097.15310366 0 0 0 0 0 0 56303.4888562114 0 0 29001000 25140182.5599939 1695502.84689634
2000-07-16 7 51 16 2000 0 2155391.16992677 0 13219.9660207032 0 0 0 0 71550.1545523699 0 0 28402500 24406656.0721237 1653108.83007323
2000-07-23 7 52 23 2000 0 2966936.36092998 0 21598.2204396928 0 77887.031521076 0 0 78522.0158524941 0 0 27804000 871845.533030487 824463.639070017
2000-08-06 8 1 6 2000 0 445743.016537795 0 31169.6638629194 0 55301.6377235134 0 0 80031.9812410353 0 0 30702000 1340946.24344954 910976.983462205
2000-08-13 8 2 13 2000 349992.63231961 479520 0 31901.2759239443 0 101265.995740256 0 0 80914.455877765 0 0 21316657.8688136 0 609047.36768039
2000-08-20 8 3 20 2000 466837.907979215 479520 0 32336.9487562071 0 111985.703777801 0 0 81454.1324554002 0 0 20122175.2207275 0 574919.292020785
2000-08-27 8 4 27 2000 535533.64901008 479520 0 32650.6214576488 0 109159.87280871 0 0 82658.2186739736 0 0 20612926.2846472 0 588940.75098992
2000-09-03 9 5 3 2000 534804.68941759 479520 0 0 0 0 0 0 83763.7584865609 0 0 23533541.8703844 0 672386.91058241
2000-09-10 9 6 10 2000 644302.115710882 179820 0 0 0 0 0.981342091908346 0 83005.4168915262 0 0 21211619.9501191 0 606046.284289118
2000-09-17 9 7 17 2000 669136.264057026 179820 0 0 0 0 3.00943407425461 0 83898.0490369042 0 0 21852912.7580041 0 624368.935942974
2000-09-24 9 8 24 2000 690374.310067729 179820 0 0 0 0 5.22690613056102 0 84838.0257443927 0 0 22620069.1476295 0 646287.689932271
2000-10-01 10 9 1 2000 727394.187732583 179820 0 0 0 0 9.77011461165716 0 79923.5630509762 0 0 22834861.4293596 0 652424.612267417
2000-10-08 10 10 8 2000 654801.413953213 359640 0 0 0 0 12.3811599004353 0 83602.4955363187 0 0 26583998.9116375 0 759542.826046787
2000-10-15 10 11 15 2000 668759.088190378 359640 0 0 0 0 16.0463677128719 0 79727.255981586 0 0 27303870.7133368 0 780110.591809622
2000-10-22 10 12 22 2000 714295.581572805 359640 0 0 0 0 19.9461620741779 0 78964.5076092795 0 0 26918483.8449518 0 769099.538427195
2000-10-29 10 13 29 2000 839870.651596574 359640 0 0 0 0 22.5814674009653 0 76090.2854241223 0 0 23731746.7941199 0 678049.908403426
2000-11-05 11 14 5 2000 1108795.99381555 359640 0 0 0 0 0 0 78923.8160363672 530037.287564317 0 15527750.2164558 0 443650.006184451
2000-11-12 11 15 12 2000 762349.880071151 3236760 0 0 0 0 0 0 80292.4367515686 0 0 26142876.1975097 0 746939.319928849
2000-11-19 11 16 19 2000 1019826.15820813 3236760 0 0 0 0 0 0 80794.3119679051 588995.678639522 0 15620718.4627154 0 446306.241791869
2000-11-26 11 17 26 2000 949140.204802099 3236760 0 0 0 0 0 0 78846.0989519131 503390.929000257 0 16584238.8319265 0 473835.395197901
2000-12-03 12 18 3 2000 665142.616179031 3236760 0 0 0 0 0 0 80471.1574733554 0 0 25013666.4337339 0 714676.183820969
2000-12-10 12 19 10 2000 419602.686996325 1817800.38 0 0 0 0 0 0 81729.202777955 0 0 36628539.9551286 0 1046529.71300367
2000-12-17 12 20 17 2000 840893.845647041 1811266.92 0 0 0 0 0 0 80275.2932770567 0 0 24904325.4023536 0 711552.154352959
2000-12-24 12 21 24 2000 923198.15515046 1804733.46 0 0 0 0 0 0 80207.7194150222 0 0 25044650.5697339 0 715561.44484954
2000-12-31 12 22 31 2000 1005575.29855722 1438560 0 0 0 0 0 0 81620.6274393794 0 0 25182426.5504974 0 719497.901442782
2001-01-07 1 23 7 2001 836894.57704317 719280 0 0 0 0 0 0 63817.3228510926 0 0 31203734.2034891 0 891535.26295683
2001-01-14 1 24 14 2001 1069114.47677609 719280 0 0 0 0 0 0 80652.0211232824 0 0 23193520.1128367 0 662672.003223905
2001-01-21 1 25 21 2001 1070478.41122831 719280 0 0 0 0 0 0 80664.8787291664 0 0 23263264.8070092 0 664664.708771691
2001-01-28 1 26 28 2001 1073715.93903481 719280 0 0 0 0 0 0 80220.1484278697 0 0 23267433.7337816 0 664783.820965187
2001-02-04 2 27 4 2001 1066471.55540265 719280 0 0 0 0 0 0 81647.253695777 0 0 23638469.5609073 0 675384.844597353
2001-02-11 2 28 11 2001 884784.382492334 959040 0 0 0 0 0 0 82945.3861582769 0 0 26074447.6127683 0 744984.217507666
2001-02-18 2 29 18 2001 764931.607344413 959040 0 0 0 0 0 0 76205.1067025701 0 0 26346221.7429455 0 752749.192655587
2001-02-25 2 30 25 2001 667852.570267163 959040 0 0 0 0 0 0 71388.432533909 0 0 25820915.0406493 0 737740.429732837
2001-03-04 3 31 4 2001 646250.957595401 959040 0 9456.07348235258 6536.79343359549 0 0 0 50716.3339976911 0 0 22653898.484161 0 647254.242404599
2001-03-11 3 32 11 2001 389714.18160047 2037960 0 22925.9183231022 0 0 0 0 63354.5774623251 0 0 28160661.1439836 0 804590.31839953
2001-03-18 3 33 18 2001 628947.086291689 2037960 0 21373.0052568976 26293.0082209228 0 0 0 62068.6740116436 364202.647551933 0 16315484.9797909 0 466156.713708311
2001-03-25 3 34 25 2001 467648.203324587 2037960 0 14005.1684985378 20492.9925637896 0 0 0 54423.6844153412 135685.619942856 0 18488921.3836395 0 528254.896675413
2001-04-01 4 35 1 2001 422556.827331044 2037960 0 43616.6211802862 26559.6336542281 16571.0353853101 0 0 58869.4159431445 807563.766785719 0 16595095.0434135 0 474145.572668956
2001-04-08 4 36 8 2001 437172.700282967 1918080 0 49306.5404109209 35198.270723536 32672.3698120728 0 0 64773.7714674657 1061579.57831428 0 13975149.9900962 0 399289.999717033
2001-04-15 4 37 15 2001 397819.854112274 1918080 0 47406.894620246 39905.0905155649 39123.2464586478 0 0 63305.141198478 1161426.55885714 0 13244110.1060704 0 378403.145887726
2001-04-22 4 38 22 2001 220535.490423571 1918080 0 37702.8368252414 28441.8742789644 29542.3896759226 0 0 54284.8223119237 1030788.02517143 0 17340673.335175 0 495447.80957643
2001-04-29 4 39 29 2001 0 1564357.09274035 0 14950.218023354 0 0 0 0 32442.4583461092 0 0 22974000 6473129.20285152 1010122.90725965
2001-05-06 5 40 6 2001 0 1393148.96361282 0 24563.7233620685 0 83037.0268298304 0 0 48163.3193043074 0 0 24662400 2776889.41130469 869931.036387184
2001-05-13 5 41 13 2001 0 1102487.38246766 0 0 0 31437.4167222638 0 0 24176.2269121465 0 0 26350800 7660003.97454329 1208832.61753234
2001-05-20 5 42 20 2001 0 1261322.49995359 0 9943.19684915383 0 58221.8843500787 0 0 35505.0063115698 0 0 28039200 4991574.00077975 1098237.50004641
2001-05-27 5 43 27 2001 0 1166567.16099729 0 16867.2890560016 0 0 0 0 40000.2967669412 0 0 29727600 6583463.69524549 1241232.83900271
2001-06-03 6 44 3 2001 0 1329162.37775094 0 0 0 24846.1911083896 0 0 55052.710261497 0 0 31416000 4814830.06723019 1126877.62224906
2001-06-10 6 45 10 2001 350797.693720478 239760 0 3359.23318986366 0 127485.524812371 0 0 58840.4323788465 0 0 18802469.2197833 0 537213.406279522
2001-06-17 6 46 17 2001 328309.988837467 239760 0 13050.5536212812 0 134978.770808833 0 0 66773.9752236419 0 0 19285343.3906887 0 551009.811162533
2001-06-24 6 47 24 2001 327865.521490288 239760 0 18697.7153196017 0 130957.483151793 0 0 72259.1298973315 0 0 18996704.2478399 0 542762.978509712
2001-07-01 7 48 1 2001 341572.878666219 239760 0 23056.5722903157 0 115575.577268041 44.459497291625 0 76557.4132581034 0 0 18212751.2466823 0 520364.321333781
