"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1986-09-21 9 8 21 1986 19670601.3458224 7067242.35733005 1400037.24377644 567337.16468673 5032504.66944082 3036999.71303741 7837534.52093245 2121802.23068836 1420000 2577600 4242400
1986-09-28 9 9 28 1986 19545024.6147332 6993906.84031086 1395882.22762065 574476.80568673 5040694.07405825 3001016.63511332 7685255.97077027 2113721.67140551 1420000 2577600 4242400
1986-10-05 10 10 5 1986 19366427.1067991 6807878.6457546 1386769.59510764 580013.801772444 5040817.77898876 3006572.00511332 7508801.92916839 2092323.59851164 1420000 2577600 4242400
1986-10-12 10 11 12 1986 19135016.4157865 6584014.22514129 1370631.49469536 574296.580972444 5006675.13056128 3006486.38237046 7289558.71317704 2066986.15528265 1420000 2577600 4242400
1986-10-19 10 12 19 1986 18906940.6887941 6329779.1626794 1353080.09101297 560540.350472444 4939968.06059108 2997205.38608475 7062445.99451218 2040521.70190338 1420000 2577600 4242400
1986-10-26 10 13 26 1986 18770547.445221 6119603.75430986 1346447.66694721 580786.770672444 4856675.98941468 2995253.3167276 6871205.73304803 2021234.78656168 1420000 2577600 4242400
1986-11-02 11 14 2 1986 18763605.527268 6023729.41618736 1354724.56863125 572665.582501016 4795325.40571373 2997660.91757046 6775379.04658377 2010619.30626846 1420000 2577600 4242400
1986-11-09 11 15 9 1986 18200671.0325251 5495814.27 1231738.365 558542.40978673 4761620 2990284.05385618 6728275.39894553 2000384.77822418 1420000 2577600 4242400
1986-11-16 11 16 16 1986 17956178.96 5495814.27 1231738.365 576319.408058159 4736130 2991561.07598475 6695093.59699584 2004217.77494813 1420000 2577600 4242400
1986-11-23 11 17 23 1986 17930888.8058157 5495814.27 1231738.365 677197.908772445 4710640 3019068.05775618 6807438.88053144 2025547.46465151 1420000 2577600 4242400
1986-11-30 11 18 30 1986 17912816.68741 5495814.27 1231738.365 695657.221215302 4685160 3024546.07237046 6808447.59966478 2023292.99245068 1420000 2577600 4242400
1986-12-07 12 19 7 1986 17339687.1495243 5204869.07429363 1041422.57714321 766683 3854642.53545986 3016173.50599903 7116755.31432292 2014794.97522309 1420000 2577600 4242400
1986-12-14 12 20 14 1986 16764355.9583529 4938961.48611917 873578.98724476 783365 3841266.23901164 3004575.81508475 6620443.89382332 2002847.81160982 1420000 2577600 4242400
1986-12-21 12 21 21 1986 16510621.93 4935152.16114991 873125.9714 800048 3830826.40072785 2992658.78527046 6103124.69246384 1989171.97121921 1420000 2577600 4242400
1986-12-28 12 22 28 1986 16440328.4396871 4904578.61708575 873125.9714 816730 3810595.23023355 2975771.17605618 5589919.50891851 1969644.95354122 1420000 2577600 4242400
1987-01-04 1 23 4 1987 16134052.5585428 4570301.97586148 845646.903932093 786576 3816718.58538604 2872038.04546141 5104540.44131801 1949717.74667822 1170000 2578080 4242400
1987-01-11 1 24 11 1987 15847953.2145296 4241779.39652265 812139.989517643 756422 3817686.60786105 2774126.37539855 4560910.54170092 1928206.78065425 1170000 2578560 4242400
1987-01-18 1 25 18 1987 15555265.4983719 3889359.81054889 739597.67019327 726268 3797975.99852386 2677674.33933726 4088156.06003998 1905515.27419299 1170000 2579040 4242400
1987-01-25 1 26 25 1987 15265746.492812 3494660.30491579 662843.734454124 696114 3764774.4396281 2581163.89765691 3921900 1889558.62328691 1170000 2579520 4242400
1987-02-01 2 27 1 1987 15028370.59 3039874.747 574231.764987549 665960 3713060 2508093.63846204 3921900 1881672.31426124 1330064.71048571 2580000 4242400
1987-02-08 2 28 8 1987 14655281.6541203 2507601.00087558 472061.746105223 621063 3694743.51718711 2452346.45002351 3921900 1877741.80823077 1420000 2542500 4205550
1987-02-15 2 29 15 1987 14287576.2197781 2076924.00729037 366400.925435552 576165 3670168.2622881 2405702.71139737 3921900 1881088.44636849 1420000 2505000 4168700
1987-02-22 2 30 22 1987 13958358.9995719 1848797.633 260048.831708535 531268 3627670 2364688.93425531 3921900 1874846.77065235 1420000 2467500 4131850
1987-03-01 3 31 1 1987 13831277.415808 1848797.633 153400 486370 3599210 2362693.22852674 3921900 1938949.60028092 1183000 2430000 4095000
1987-03-08 3 32 8 1987 13695651.0371299 1188498.596 153400 402130 3570250 2385582.68881245 4022554.45132857 2021266.64803806 1183000 2400000 4072500
1987-03-15 3 33 15 1987 13560048.4601088 1188498.596 153400 317890 3541290 2407099.58686959 4263472.0682 2091220.71838092 1183000 2370000 4050000
1987-03-22 3 34 22 1987 13414048.5258592 1188498.596 153400 233650 3512340 2416007.02358388 4217806.36571429 2105660 1183000 2340000 4027500
