"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1998-10-11 10 11 11 1998 357922.990658355 396414.237201212 673649.263669049 36015.7768954308 98887.461017364 113386.637160221 200933.857912795 28899.4121857143 51399.9120714285 102359.260014286 104394.3017 118423.395114286 123368.189385714 1235058.65408625 1255573.69907196 1276126.43001482 1281481.80287196 1289514.86215768 1289856.01924339 1300527.09552911 59840.8159487168 86123.9644855754 185652.925714286 185652.925714286 188473.422085714 41390.362104119 336431.737104119 336431.737104119 297619.887857142 292020.548014285 1604587.31511482 1642205.8342291 1711645.18547196 1758582.05335768
1998-10-18 10 12 18 1998 356621.706496683 384630.306539541 688011.434089347 36428.2799440452 105568.385975626 118583.925489911 208027.285919671 29849.495 50995.2838999999 98771.1601999999 100786.367171429 116999.262628571 125026.3715 1263012.89890066 1283466.45627208 1304570.59227208 1309636.37830066 1318042.33021494 1318300.18150066 1324111.75278637 48916.9750682754 69233.8650698969 177659.535857143 177659.535857143 180234.081771429 42413.097763605 326174.47074932 326468.024520748 286960.712399999 275765.999657142 1623848.0046578 1667561.73147208 1741366.70332923 1785328.36407208
1998-10-25 10 13 25 1998 314459.057956446 344389.641813589 677784.895782133 36735.1120209174 106559.591641997 118028.023441997 209325.323662914 31442.2225571429 51187.6806285714 99340.4164999999 101107.689542857 122326.866885714 122785.048785714 1256725.47048024 1273918.2008231 1293052.74969452 1297654.40340881 1304719.52863738 1304840.52039452 1316158.20836595 52968.9434577054 77125.9927572412 176814.577028571 176814.577028571 178976.560885714 43416.5910506935 321068.872036408 320741.599250693 280238.727728571 278025.173614285 1612044.54219452 1653973.1447231 1730192.00130881 1774234.98438024
1998-11-01 11 14 1 1998 44473.2903398167 67279.2448255308 76583.7550552925 1760.45360209352 4970.65879547162 19513.4713097573 72761.7323975651 32455.7764571429 55529.4995857142 102817.441914286 106221.078885714 128408.190285715 138668.687985715 448344.772252858 473554.694110001 491386.102252858 499200.979681429 505661.146124286 505579.823795715 510324.287452858 52581.3364086989 80527.9916865984 180952.098428571 180952.098428571 183116.065757143 27767.6 315692.279514286 315226.163728572 291229.142914286 290717.407285715 815223.515452858 846064.512695715 924607.997795715 982902.22308143
1998-11-08 11 15 8 1998 619217.48 639883.268814286 1286152.09584686 150735.757386242 129259.842321859 139643.31525043 346026.2197081 32979.4129142857 54004.2100571429 101010.499442857 104352.6488 166605.6 167904.773785715 1924225.53299782 1946323.38818354 1963202.73004068 1971961.73986925 1981680.74986925 1980732.65052639 1993157.11555496 51935.6231791009 66900.0168455383 163013.582828571 163013.582828571 165122.012957143 27767.6 306994.7573 304689.9635 280613.603828572 286631.456142857 2279124.10876925 2310796.18054068 2386917.84702639 2443944.63406925
1998-11-15 11 16 15 1998 398313.734354401 419455.556311544 471870.772282972 18009.9205714284 81596.4562999997 102226.542628571 165636.996871428 27885.8582857143 56967.5163714285 112474.9643 116017.444271428 167331.8336 170517.288714285 915183.7691544 949460.138911543 971072.043597258 985658.492482972 1014160.97691154 1014010.23308297 1029566.59949726 45761.5767161469 59774.2336097118 169545.154242857 169545.154242857 172617.551485714 27767.6 353772.947471428 353269.145728571 330753.778071428 324347.165357142 1373087.9831544 1406100.88161155 1486520.73068297 1587890.00498297
1998-11-22 11 17 22 1998 92657.8677857123 109951.755171427 162775.566257141 14709.4241142858 82865.878014286 115180.594528572 163605.922128572 23831.6426857142 59611.4837857143 122318.933 126331.4957 177677.620571428 195639.937828571 604057.488385712 633404.931642856 654241.298999998 664426.424785713 687962.296757141 687214.52802857 691609.900714283 53377.6757080904 70153.9652438853 188124.331114286 188124.331114286 190300.199271429 27767.6 424170.315414285 421216.926457142 406907.180099999 412157.428971428 1113361.38098571 1193416.27131429 1285320.41995714 1450674.49907143
1998-11-29 11 18 29 1998 78646.625614287 103017.539057144 153758.705142858 8802.64619999996 83845.6302571427 108670.758657143 158678.896457143 22847.8408571429 59903.0540857143 125754.305514286 129735.132671429 200973.4925 214861.759442858 590113.601600001 624959.227657144 645597.247871429 659499.399114286 678985.022428572 679629.650642858 682660.394985715 52893.6260114163 87071.566281707 203206.647857143 203206.647857143 219118.055657143 27767.6 484158.425299999 482256.276199999 480255.953528571 474424.547528571 1234866.77458571 1343802.99238571 1439055.2408 1571860.55377143
1998-12-06 12 19 6 1998 619217.48 643717.319085714 906521.453223508 160112.998453431 881658.025742857 895669.267914285 934849.894785796 28014.7839285714 58002.8884571427 121422.403914286 126085.545242857 167742.412185715 174504.066285715 1879503.9650198 1914456.69853408 1934507.61120551 1947140.34073408 1961480.83916265 1961770.42599123 1967693.07167694 63806.7023473736 82725.4809443699 198962.019 198962.019 213373.9224 27767.6 403004.691800001 406822.874300001 396920.401457143 398124.368614286 2455305.72073409 2546680.28250551 2637715.67066266 2734538.82844837
1998-12-13 12 20 13 1998 619217.48 640821.4508 940619.329289929 165441.520285014 57544.473085715 86915.7180000007 305737.399556444 26384.3704142858 60071.649157143 116344.717057143 121914.304828572 183257.1257 201538.781857143 1898018.62364637 1939161.77148923 1961830.86644637 1975284.75314637 1994877.4839178 1995303.93027494 2007119.46957494 49067.6470479337 58518.188274445 261187.484657143 261187.484657143 271922.032028571 39858.3978707848 478939.468013642 480230.707913642 462517.768542857 454677.105985714 2534996.58863208 2629447.51458922 2721284.22520351 2846383.75167494
