"Year","Month","BROWN","LGOOS","LMONU","LGRAN"
1997,6,75821.2744582136,210705.566292104,212201.388120978,210373.005508138
1997,7,30069.8870295131,74202.8530081352,74962.6859719234,73938.6587581983
1997,8,22707.0673392757,39427.0530128129,39885.2703675828,39347.5885829833
1997,9,19383.3635964434,32294.7247991321,32641.7561726396,32261.8833271442
1997,10,19766.7923041428,32661.1998793278,32999.5346423102,32702.1769226428
1997,11,18650.5537362969,35490.0282794949,36218.2905320205,35429.6552593334
1997,12,18869.0850754113,30497.351738404,31458.7615613396,30493.777070688
1998,1,23288.4802382489,38245.1202026857,40255.7134557444,38272.6222356817
1998,2,23293.7159542843,41719.1652632813,43959.8965051755,41708.2704446991
1998,3,29996.6398306177,57757.8400407427,59696.0117648986,57845.7396262036
1998,4,35791.8299365161,77208.1511059979,78575.4833313542,77319.3665350574
1998,5,68497.7180659521,172480.998171257,174118.586324809,172660.021153417
1998,6,50531.6296246485,127965.941401981,128974.210507849,127800.332674036
1998,7,28415.4741205132,63399.434765219,63998.8164419203,63226.4610145973
1998,8,18040.6223614316,31024.464447937,31400.1329241977,30985.0018243034
1998,9,18862.4587488406,29700.8886785658,29949.3692531935,29723.5009092229
1998,10,17845.1583736074,27100.0838535195,27317.8079306021,27110.7253097315
1998,11,15888.6358796619,29505.6685415547,30004.791496791,29566.3921027686
1998,12,18157.8742837898,35721.9099072761,38233.4669586111,35803.0488194459
1999,1,23355.7113290324,48459.5353843308,51440.2354653885,48394.2715863265
1999,2,24780.1583157223,45814.0127173921,49696.7117076533,45969.6323409415
1999,3,38241.6769366734,82121.0751577316,86313.9271527413,82103.342469846
1999,4,43870.7516370948,94953.3781677876,97230.2744805925,94972.286203362
1999,5,59197.0498874741,151141.210758359,152885.144889068,151299.146607422
1999,6,65148.1239293839,189680.586677234,191139.284535624,189468.415936942
1999,7,29184.7725975845,69783.4393169953,70461.1672007061,69585.8711456534
1999,8,19468.5235471613,34256.652696412,34690.0052567472,34215.44032231
1999,9,17989.0350149717,27323.6921631536,27587.7928543544,27306.5018564052
1999,10,18469.322168895,27796.5481361807,28019.0520483233,27816.4275296673
1999,11,15845.1166128862,29416.0741925527,29995.1922355086,29431.257637844
1999,12,17631.7157991709,33567.8506464671,34951.8115668688,33548.657805269
2000,1,20833.5573590614,33046.6894913872,34515.1028848352,33044.3002715639
2000,2,26042.6341505369,47547.5112952201,51182.018119392,47599.5442639433
2000,3,25694.1974116161,57883.6786240535,61391.2631338906,57878.8363074659
2000,4,39487.0995659066,103907.413709021,106814.740975388,103938.513469092
2000,5,46502.6134950656,128637.16734694,129980.768412552,128657.185650271
2000,6,33519.2823493395,92856.6924267944,93831.2915675259,92775.3827060551
2000,7,18441.9449566555,35846.7879689159,36485.79948418,35793.6895336585
2000,8,14027.4370626543,22701.2412505695,23105.8375997892,22674.2681428138
2000,9,17665.9944033191,26828.0288606267,27118.6783668294,26825.948714089
2000,10,18659.0041962062,31530.9916912847,31760.6786026634,31542.2683587768
2000,11,15382.7224298189,25072.0805764989,25352.599667078,25068.5300734993
2000,12,14824.0670910355,23244.4999898588,23878.2400150617,23243.4830050887
2001,1,15429.8050981285,23336.8371748714,24133.4247792529,23344.6511988892
2001,2,16147.7731544095,25187.9972283866,26480.6736430562,25193.650654638
2001,3,19866.1811754885,39266.1350436887,40596.8882617896,39275.8033014239
2001,4,22584.5856887604,52672.2878176497,54046.1559556846,52675.3564149271
2001,5,34173.4014782964,101356.155737442,102607.1524732,101380.283760499
2001,6,20531.8334116549,55521.9942643938,56175.4915560325,55512.3461589465
2001,7,14385.376428002,28587.3182821371,29208.9287777586,28561.7825800394
2001,8,12424.9456461245,20867.8047882037,21286.9169147325,20841.854338898
2001,9,13599.7697188875,19757.0711175754,19968.6370818204,19750.3453251794
2001,10,14560.1505754588,22450.2476165023,22577.428749124,22461.3494087504
2001,11,14466.086271071,25600.6076607956,25873.1389893193,25608.3827461879
2001,12,15368.5901607899,24594.6217971186,25491.654787796,24601.6575698524
2002,1,15111.0504078041,29158.3206962005,30939.1954073754,29164.0820080695
2002,2,14497.5772277117,27354.7099418573,29481.7889622341,27375.3868569377
2002,3,18740.8828494455,41322.61750976,44475.4202560728,41373.550277582
2002,4,29826.6077210799,90300.670842629,93425.414093138,90336.5044420729
2002,5,34631.2588297388,115535.347520224,117128.154303993,115686.05714515
2002,6,33809.4854250594,129359.715016333,130404.654578427,129226.817453379
2002,7,15041.7997426142,41264.0707628852,41848.2656464824,41144.3089964752
2002,8,11643.5231928688,21539.2602528986,21909.7129708605,21513.9883265382
2002,9,13957.6081583329,21244.9216246683,21462.1187935898,21236.6113017074
2002,10,13560.9827544962,20105.6826912849,20244.7362303142,20112.2505033128
2002,11,12344.384661812,19728.3419818054,19921.1136221666,19734.6525090393
2002,12,13718.7001396591,21359.658589618,21986.4831432263,21371.30237452
2003,1,16539.9570134782,31554.3592325139,32759.9026474315,31695.4760868016
2003,2,17235.5401446421,44822.7959412115,47592.4024154879,44687.2936452021
2003,3,18198.0354277093,59169.5346036087,62824.5762616361,59231.5601016405
2003,4,23912.7459829157,77481.6252210662,79413.5992984477,77494.8581652227
2003,5,40087.6192096871,120865.029895448,122019.314119322,121076.505459193
2003,6,34866.9101712425,119977.480133639,120694.947868643,119697.069422792
2003,7,13923.7159543204,31314.3277066292,31807.9804236155,31234.5030443557
2003,8,11332.1557924502,19612.0605456369,19958.5734235782,19582.0452388048
2003,9,12540.6667127999,19083.2031848578,19294.0573873124,19072.151542794
2003,10,13183.6484140821,19072.8041398816,19190.7804817449,19082.2966378097
