"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1992-04-05 4 36 5 1992 168265.309371429 1257253.3080658 0 168265.309371429 671274.910971433
1992-04-12 4 37 12 1992 180257.460271429 1565521.84199832 0 180257.460271429 554278.86528571
1992-04-19 4 38 19 1992 169951.260085714 1610837.2497728 0 169951.260085714 942411.488314281
1992-04-26 4 39 26 1992 161237.952742857 1380420.34687156 0 161237.952742857 1143681.04131428
1992-05-03 5 40 3 1992 146560.33609 1790039.25 0 -59468.9102571429 1543597.52921429
1992-05-10 5 41 10 1992 145518.616895714 1790039.25 0 -50779.3219285713 1421441.47434285
1992-05-17 5 42 17 1992 136784.40046 2125380.43183113 0 -22782.6227142862 1009596.13621137
1992-05-24 5 43 24 1992 141431.951943741 2072418.38876539 117803.456649151 -36673.8397105443 1219539.44576837
1992-05-31 5 44 31 1992 0 2502554.49423611 177008.986418571 -14006.675588295 1121895.83956132
1992-06-07 6 45 7 1992 33901.9903534013 1385184.36267579 285283.846576067 47908.6659416963 839664.280371435
1992-06-14 6 46 14 1992 96819.1908428567 1684621.32654286 375609.523628572 96819.1908428566 969514.220914288
1992-06-21 6 47 21 1992 76873.4021571429 1393577.63820714 276721.572085714 76873.4021571429 729180.954857139
1992-06-28 6 48 28 1992 80338.5267428575 1294755.63708929 244357.268785715 80338.5267428575 673286.73
1992-07-05 7 49 5 1992 86620.1807571426 2937353.39841429 261204.875100001 86620.1807571426 741423.170251591
1992-07-12 7 50 12 1992 79245.6339857149 2325160.00616371 230591.977071428 79245.6339857149 400572.676442853
1992-07-19 7 51 19 1992 80755.0557428574 1744287.2639568 166202.544085715 80755.0557428574 383553.491585719
1992-07-26 7 52 26 1992 68697.5329285717 1257236.19966007 141012.023471429 68697.5329285717 366376.202785425
1992-08-02 8 1 2 1992 61628.440757143 825583.123899535 111335.557428571 61628.440757143 960484.982728568
1992-08-09 8 2 9 1992 61215.8786999998 941832.029171778 97832.0839428566 61215.8786999998 748849.283229036
1992-08-16 8 3 16 1992 59916.704914286 1159120.01292752 96522.9928000001 59916.7049142861 568614.445813934
1992-08-23 8 4 23 1992 62695.5483857145 1371793.60696064 70802.7949626809 62695.5483857145 242009.275164895
1992-08-30 8 5 30 1992 76915.0550571425 1452047.41524398 32688.0690855188 76915.0550571425 194191.560515042
1992-09-06 9 6 6 1992 83648.9405571428 1442816.88403977 17747.4410553779 83648.9405571428 196047.499885715
1992-09-13 9 7 13 1992 85717.7012571426 1481618.83420212 3115.68244579434 85717.7012571426 196202.210657143
1992-09-20 9 8 20 1992 88101.8339142855 1538705.57734253 512.334664538503 88101.8339142855 180501.050828572
1992-09-27 9 9 27 1992 101141.175085714 1547051.42143023 2148.83659600653 101141.175085714 222461.388899999
1992-10-04 10 10 4 1992 106076.052 1823808.6401411 0 106076.052 254103.7086
1992-10-11 10 11 11 1992 113355.392142857 1924768.29757763 0 113355.392142857 222889.818728572
1992-10-18 10 12 18 1992 108154.730057143 2394988.87944554 0 108154.730057143 235177.424228573
1992-10-25 10 13 25 1992 105746.795742857 2177483.10009057 0 105746.795742857 295887.517714285
1992-11-01 11 14 1 1992 128594.646931429 761965.397319143 0 131133.246557143 338468.682342857
1992-11-08 11 15 8 1992 129914.647167143 1884156.5211507 0 133110.767571429 376562.951542857
1992-11-15 11 16 15 1992 130918.482057143 875168.858175 0 132833.081571429 383665.762728572
1992-11-22 11 17 22 1992 131209.655662857 817400.252817855 0 129911.428157143 388604.606585715
1992-11-29 11 18 29 1992 128004.167487142 824517.717408255 0 132783.494785714 348810.219314286
1992-12-06 12 19 6 1992 126290.448172857 3107143.91616251 0 131585.478042857 942727.022159972
1992-12-13 12 20 13 1992 127459.704579999 1428403.04843156 0 124206.964328571 355081.955971429
1992-12-20 12 21 20 1992 125932.034885715 1435229.71964361 0 122122.335857143 382126.588900001
1992-12-27 12 22 27 1992 115984.330630001 1436709.334355 0 149591.431671429 364515.346085715
1993-01-03 1 23 3 1993 125926.481165715 2186509.24316781 0 128356.386642857 341578.966659771
1993-01-10 1 24 10 1993 121722.116778571 2190997.63948583 0 130028.453057143 328326.909871429
1993-01-17 1 25 17 1993 108053.618469999 2266518.10201613 0 154403.333442857 360754.684257143
1993-01-24 1 26 24 1993 103922.444178572 2526822.04072502 0 149282.010214286 398735.428771429
1993-01-31 1 27 31 1993 121765.158108571 2401932.0151488 0 133658.205771428 362912.701171429
1993-02-07 2 28 7 1993 127309.357445714 2792074.54885548 0 193136.136914286 540691.998984526
1993-02-14 2 29 14 1993 109590.213785714 2540683.42734209 0 226002.258485715 341143.386842857
1993-02-21 2 30 21 1993 111125.420671428 2213172.26981251 0 239114.988099999 328775.442485714
1993-02-28 2 31 28 1993 129717.490107143 1987251.77231924 0 214529.859742857 315704.097699999
1993-03-07 3 32 7 1993 180263.354142859 4068680.29649523 0 204913.911514286 447490.303242857
1993-03-14 3 33 14 1993 472143.050142857 798069.334128568 0 472143.050142857 536604.422985714
1993-03-21 3 34 21 1993 596026.708628571 906292.308307248 0 596026.708628571 766334.333842857
1993-03-28 3 35 28 1993 503023.716814286 944695.360812613 0 503023.716814286 781543.592757143
1993-04-04 4 36 4 1993 463320.568671429 775503.747239286 0 463320.568671429 873251.806542853
1993-04-11 4 37 11 1993 447798.003914287 935955.064692857 0 447798.003914287 825296.434342856
1993-04-18 4 38 18 1993 423129.487114286 875121.525349999 0 423129.487114286 828401.5506
1993-04-25 4 39 25 1993 344742.7789 1265286.72480714 0 344742.7789 1048657.13538571
1993-05-02 5 40 2 1993 192226.747102583 1531942.1246 0 366943.948653772 1257079.13094286
1993-05-09 5 41 9 1993 137632.278168846 1790039.25 0 362915.076617657 1840324.85492857
1993-05-16 5 42 16 1993 250014.120214286 1790039.25 0 250014.120214286 3157848.94958572
1993-05-23 5 43 23 1993 142176.745585714 1790039.25 99051.6021659528 142176.745585713 2187563.31404286
1993-05-30 5 44 30 1993 178345.347085714 1790039.25 750131.588208811 178345.347085714 1864763.2564
1993-06-06 6 45 6 1993 390839.078057143 1988102.16225113 1137433.99163738 390839.078057143 1280742.5901
1993-06-13 6 46 13 1993 368154.115328571 1220965.16703902 804456.869091852 368154.115328571 953123.012614284
1993-06-20 6 47 20 1993 276539.553514286 1611294.3713 361522.909542857 276539.553514286 934369.290257143
1993-06-27 6 48 27 1993 231082.355314286 715901.27123214 699208.112628573 231082.355314286 850214.564485714
1993-07-04 7 49 4 1993 216454.253528571 1443581.56352857 641201.325571428 216454.253528571 700702.313528571
1993-07-11 7 50 11 1993 196417.504802061 1039998.10164298 751957.386671432 180065.4867 828625.31984286
1993-07-18 7 51 18 1993 211086.517769216 726694.562899953 638234.585971427 145334.901985714 787059.226242856
1993-07-25 7 52 25 1993 219987.631381271 928081.0031065 597807.04508543 144601.017557143 793800.619399714
1993-08-01 8 1 1 1993 273973.25809031 615099.237242858 995716.104628572 194463.505800001 1236659.14402857
1993-08-08 8 2 8 1993 146463.542684285 656350.98014643 779872.279342856 123621.840257143 1034737.78565714
1993-08-15 8 3 15 1993 138016.334564285 655933.955278574 763679.218599996 146519.034428571 1026315.96597143
1993-08-22 8 4 22 1993 140210.252311429 670937.429032141 739476.900228568 138561.347057143 1010670.34334285
1993-08-29 8 5 29 1993 137849.127922856 544241.485471612 440415.028642857 144987.794485714 718871.94412857
1993-09-05 9 6 5 1993 140459.376322856 688489.534228834 267729.061661079 135143.825785714 563624.363292365
1993-09-12 9 7 12 1993 138280.532958572 200666.341243814 164300.953125011 144710.108485714 243385.626716733
1993-09-19 9 8 19 1993 130552.333231429 361036.023940218 181825.467263552 169112.757471429 235512.680899999
1993-09-26 9 9 26 1993 129711.73804 747906.923250939 181883.137655831 168519.699514286 241268.714985714
1993-10-03 10 10 3 1993 125814.811724285 963118.964138001 170089.814414412 182102.511857142 293202.472996917
1993-10-10 10 11 10 1993 121270.480334286 1237755.32598298 130488.166358691 196218.878014286 273876.985271429
1993-10-17 10 12 17 1993 138661.557820001 1693937.47457078 71456.3807115722 136512.421071429 280214.176485714
1993-10-24 10 13 24 1993 129096.861897143 2187505.29131414 0 166460.856171429 274620.787057143
1993-10-31 10 14 31 1993 166953.245674287 2031081.28236899 0 167869.120885715 299435.9981
1993-11-07 11 15 7 1993 154399.366414286 2584558.30377094 0 154399.366414286 329318.645585715
1993-11-14 11 16 14 1993 155355.399642857 1092437.46698782 0 155355.399642857 333553.357085714
