"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
2031-11-02 11 14 2 2031 1657223.54088418 NA 719161.711045668 908387.408954332 68516.4597760684 1203100 403225.049770636
2031-11-09 11 15 9 2031 2176558.84864556 NA 0 2062063.66485733 224294.188909859 1104019.35914267 468852.868322243
2031-11-16 11 16 16 2031 2384873.21236359 NA 387302.749034455 1575680.27496555 138959.72099268 1106640 473720.759997236
2031-11-23 11 17 23 2031 2695765.62146827 NA 530288.40876838 1432694.61523162 213237.663521132 1106640 514817.667009425
2031-11-30 11 18 30 2031 2868302.79523908 NA 648468.011179794 1314515.01282021 221767.687063522 998520 538961.798928435
2031-12-07 12 19 7 2031 3225314.42428816 NA 184485.603183731 2102022.42881627 485518.064927314 998520 697504.810280908
2031-12-14 12 20 14 2031 3340623.2894883 NA 63915.8162597427 2222592.21574026 422616.614602022 998520 615558.061429558
2031-12-21 12 21 21 2031 3733652.72173315 NA 905694.005725307 1380814.02627469 129296.416819853 998520 461282.720657369
2031-12-28 12 22 28 2031 3432927.45436622 NA 837149.411627838 1449358.62037216 122587.272453926 998520 460760.554460724
2032-01-04 1 23 4 2032 4035952.54354505 NA 842193.713177458 1434390.23882254 6987194.4583611 1010180 8059892.6522263
2032-01-11 1 24 11 2032 3536436.75497242 NA 400212.140410055 1876371.81158995 5601504.3750811 1010180 6400822.56109772
2032-01-18 1 25 18 2032 3067242.65477501 NA 209788.202278666 2066795.74972133 4204121.48822482 1010180 4959049.7901387
2032-01-25 1 26 25 2032 4095711.53022084 NA 211507.962939543 2065075.98906046 3671588.50776892 1010180 4914987.00382198
2032-02-01 2 27 1 2032 5202533.51669909 NA 0 2802205.18728329 4359601.48952966 497278.764716712 5927288.99608256
2032-02-08 2 28 8 2032 5894688.04665829 NA 0 2849993.38246433 6820621.69176887 360665.289535671 8324894.51446722
2032-02-15 2 29 15 2032 6069001.6200349 NA 0 2273929.18846561 6682959.58743119 866769.483534386 8159186.75108988
2032-02-22 2 30 22 2032 5541878.87381564 NA 252245.205084017 1865553.46691598 5632202.42243557 1022900 7282636.42444005
2032-02-29 2 31 29 2032 4836272.41236362 NA 350867.246974345 1766931.42502566 4480730.50140169 1022900 6167150.68110945
2032-03-07 3 32 7 2032 3256220.58828895 NA 0 2059759.86305009 2824089.05153475 894857.544949909 4075610.07805137
2032-03-14 3 33 14 2032 2320493.29745986 NA 0 1988042.62052218 1386700.98376545 966574.787477824 2468889.14270975
2032-03-21 3 34 21 2032 1694270.63153633 NA 483645.32879825 1378112.07920175 504369.065702883 1115120 1371557.41747606
2032-03-28 3 35 28 2032 1442775.12737133 NA 343845.064329468 1517912.34367053 298631.279458055 1115120 968118.086993536
2032-04-04 4 36 4 2032 1168396.96143274 NA 154696.803098776 1562169.03690122 179604.695220024 1190380 698994.051613966
2032-04-11 4 37 11 2032 834915.836115566 NA 112671.792271231 1604194.04772877 206060.132270676 1190380 438921.344948227
2032-04-18 4 38 18 2032 57005748.8810099 NA 0 2232533.65356422 0 855330.44243578 93329.3225606017
2032-04-25 4 39 25 2032 9545135.7393517 NA 1689.53531533317 1895794.56068467 0 1190380 150339.838855578
2032-05-02 5 40 2 2032 20995516.1926119 NA 0 3475218.1501833 354170.151527022 0 667091.74625701
2032-05-09 5 41 9 2032 23133301.123822 NA 0 2291742.35148552 0 1058992.97651448 415836.862505603
2032-05-16 5 42 16 2032 3603318.92406422 NA 0 2684005.33648172 0 666729.991518281 538192.850139281
2032-05-23 5 43 23 2032 1663320.58725824 NA 0 2116710.30300623 0 1234025.02499377 663695.601390469
2032-05-30 5 44 30 2032 2831496.31153827 NA 0 3181693.26595659 8451.96331605989 169042.062043412 798500.240739983
