"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN" "CHELA" "JLAKE" "PALIS" "IPARK" "RIRDM" "AMERI" "MINAD" "BOISE" "PAYHS" "OWYHE" "PELTO"
2007-09-23 9 8 23 2007 19862921.1105415 7088071 1270942.96782049 790571 5077667 2801321 8561036 2282683 1165225 1792000 1366377 1600767 202361.988322351 293633.504745826 37931.1863725786 28103.680698434 0 95180 632153.889740912 552782.898957721 852702.756717659 557970
2007-09-30 9 9 30 2007 19786754.7259608 7012154 1209861.33903019 817000 5098618.20821712 2726227 8652080 2230518 1080300 1792000 1308502 1584400 195676.434176279 283932.558874746 36678.0310620334 27175.2025757837 0 95180 620635.073865838 550509.286335417 848885.401373238 557670
2007-10-07 10 10 7 2007 19681211.2735095 6937496 1160638.89524832 817000 5160818.56510892 2730446.47963061 8743124 2230875 1021140 1790694.35317266 1199292 1574007 188217.832608168 273109.89728151 35279.9740034709 26139.3649727596 0 95180 604816.109370017 538571.990858908 840678.121357424 557370
2007-10-14 10 11 14 2007 19587602.9386348 6862838 1123322.26461249 817000 5184385.38916376 2730913.19706981 8834168 2225914.53632473 961980 1768545.95409135 1090082 1563613 177848.056600419 258063.031524617 33336.2398582753 24699.228530871 0 95180 592287.197097308 534106.622912596 834353.280882633 557070
2007-10-21 10 12 21 2007 19487524.2717717 6788181 1085964.57460508 817000 5198934.33037897 2730472.94569402 8925212 2220056.37926981 902820 1743029.0722209 980873 1553220 170198.273749747 246962.959976549 31902.3473499828 23636.8400041029 0 95180 580062.099988515 526546.19138388 829501.889293436 556770
2007-10-28 10 13 28 2007 19329076.6997204 6713523 1040844.88800948 817000 5209322.64424855 2729493.64027746 8943846 2213600.39150625 843660 1716125.38395165 871663 1542827 167221.357957701 242643.363076961 31344.3475563472 23223.4111206482 0 95180 572757.234158524 521855.19866876 827871.048088616 556470
2007-11-04 11 14 4 2007 19175656.6163836 6638865 1032133.1481788 817000 5275258.11400064 2754938.6113523 8943846 2232303 784500 1766752.1350828 762453 1532433 165652.676729027 240367.158089931 31050.3104175678 23005.5554021223 0 95180 570622.149588421 520630.721677675 827781.009010318 556170
2007-11-11 11 15 11 2007 19198604.1338854 6e+06 1079269.48927564 817000 5419482.84009827 2711956 8904440 2230568 860513 1790869 696602 1522040 180639.049519193 292342.197558083 43152.599504994 23318.6993185954 85410.2153419583 95180 587000.405675743 543099.739167355 827949.445033112 555870
2007-11-18 11 16 18 2007 19098285.7732215 6088669.13730754 1078853.30846094 817000 5361632 2653781 8883684.18910888 2228832 881250.790350317 1789739 630751 1511647 190661.521270069 329685.827478668 52155.9356260682 23381.0351941474 156287.590672521 95180 596522.240544079 549522.162462056 827973.723342491 549603.843045211
2007-11-25 11 17 25 2007 19028891.6719524 6e+06 1092525.39691615 817000 5204442 2595605 8701480 2227097 939996.750843155 1788608 564899 1501253 200082.131012304 379137.352046189 62591.959769011 23992.4177931945 238527.717119391 95180 614566.641034908 565868.634863081 828205.540741768 555270
2007-12-02 12 18 2 2007 18849975.7279124 6e+06 1068648.45195079 817000 5047252 2537430 8600000 2225361 1019118.64050445 1787477 499048 1490860 207184.352417603 421335.662180565 71210.7735532228 24649.0681188529 320560.754161208 95180 627351.683884404 576463.166113735 828327.997260852 554970
2007-12-09 12 19 9 2007 18699298.5670688 5058323.39643135 1042470 817000 4740955 2423590 8646283.82731057 2219460 1112955.09040334 1769824 499048 1480467 214375.257033292 448828.664691478 78822.3604120236 24896.5476885695 380938.492769314 95180 637733.210769218 585780.007866596 828354.82250774 554670
2007-12-16 12 20 16 2007 18444192 4e+06 971809 817000 4434658 2309751 8657143 2213560 1167579.804693 1752171 499048 1470073 221534.152986851 475398.246566798 86365.7843048273 25297.2011557514 437926.336476723 95180 648602.827940745 595429.261824396 828383.169146519 554370
2007-12-23 12 21 23 2007 17911056.967154 4e+06 869142.901720547 817000 4220961.55913122 2195911 8685714 2207659 1233626.67407403 1734518 499048 1459680 228687.846587864 501902.962551645 93866.1126037996 25808.9882951475 494319.347145869 95180 658981.35359044 604105.893030227 828412.940211431 551179
2007-12-30 12 22 30 2007 17445191.2345322 4e+06 777365.398727232 817000 3859486.84793558 2083480 8714286 2201758 1285258.43097203 1716865 499048 1449287 235791.934658256 528253.676858354 101319.454507409 26202.8628066087 550592.967903822 95180 669420.872835825 610000 828438.056716836 547988
2008-01-06 1 23 6 2008 16792628.7277922 4727575.78669994 731373.973565161 815497.194552158 3418688.70533533 1991755.24637287 8242380.88143787 2205099.00921853 1386505.55203571 1657718 608741.382229079 1438893 244324.924183947 557832.758870393 108202.287638079 26594.0884328 611729.725730157 95180 318546.362669233 610000 828470.269416132 544797
2008-01-13 1 24 13 2008 16152193.5322746 4512824 678586.004906493 813586.483469346 3117379.02205043 1891466.4665588 7823707.21581836 2191754.8348233 1370058.88569731 1598571 679616.747880633 1428500 252932.931940593 588269.405222018 114963.178550691 27002.4407097337 683632.77995804 95180 281130.818198273 610000 828518.265662715 540506.768471428
2008-01-20 1 25 20 2008 15553101.9838329 4109505 627016.276382985 779185 2828272.86010925 1784072.97303657 7501905.50929281 2171086.4311776 1346406.0709861 1539424 707189.501851749 1418107 261397.352108813 618574.50258641 118750 27452.1598736584 766713.651664877 95180 243994.669366501 610000 828651.683808752 537988.108764012
2008-01-27 1 26 27 2008 14938783.2781023 3706187 539348.910103149 741641 2558844.21109494 1653134.7920409 7450294 2140960.67227084 1277184.62692035 1480277 647976.15490689 1407713 269723.53760094 647731.088238267 118100 27830.201514942 846237.047406257 95180 213640.655815997 610000 829061.049718769 535225
2008-02-03 2 27 3 2008 14530556.6520123 3302868 435764.853805148 704096 2309400 1526958.83163176 7450294 2107940 1129195 1421130 499048 1397320 277583.104761206 677258.63290258 117900 28304.0820907304 904970.675173999 95180 169699.655673552 610000 830214.129254588 518817.068984117
2008-02-10 2 28 10 2008 14389435 3166548.19730792 327666.421676168 670000 2039400 1502904.17171897 7091088 2102386 1117691 1297560 499048 1386927 284848.196553116 707385.771697393 117600 28558.0057885007 952192.699667426 90899.4943585992 152690.803948295 610000 833483.545372711 491797.497675873
2008-02-17 2 29 17 2008 14224064.6213648 3058180.18560795 229825.742330554 626375 1769400 1478256.49057093 6731882 2096833 1106187 1173990 499048 1376533 292007.573613117 737226.415675262 117400 28700.2449766024 998738.428912025 86001.9698780112 146547.492773559 610000 837186.263547727 465300.09406349
2008-02-24 2 30 24 2008 14074591.4135368 2677300 136011 582750 1499400 1459078.24649129 6372675 2003000 1045000 1050419 499048 1366140 299066.347217772 767338.221474304 116900 29141.7534359727 1092901.96114 95180 177423.487348475 610000 856464.659003874 510477.970944284
2008-03-02 3 31 2 2008 13925877.9548176 1927300 25000 539094.183832187 1229400 1458792.95930002 7198923.08537704 1898000 920000 926849 776751.439904999 1355747 305002.544277858 792292.427531546 116250 29956.0620383472 1204952.05278973 95180 194880.218337011 610000 912610.898799908 519270
2008-03-09 3 32 9 2008 13779817.6792662 1502300 25000 495500 1059400 1465130.60220028 7124114.43745241 1833025.20650461 857500 838337 1086231.58917678 1345353 308329.461843425 803306.084467735 115500 30912.8892906967 1273234.83155916 95180 170035.884763859 610000 926418.696009463 528045
2008-03-16 3 33 16 2008 13632997.1356202 1077300 25000 413175 889900 1469346.68517512 6521275.5998796 1768050.41300923 795000 749825 1200118.06351833 1334960 313203.862817349 744000 114500 34586.4690737426 1389676.92601745 95105.5776979272 144582.318173056 610000 924034.837358663 536820
2008-03-23 3 34 23 2008 13487056.3226253 652300 25000 335020.710598007 885729.289401993 1483278.89115533 5918436.76230679 1703075.61951384 732500 661312 1130014.84043687 1324567 335543.704454174 685783.671961329 113750 42408.8648028406 1672590 87648.7976301012 143828.690664498 610000 964030.962355641 545595
2008-03-30 3 35 30 2008 13357584 227300 25000 248525 889900 1508776.25738878 5315597.92473398 1638100.82601846 670000 572800 1061608.15420032 1314173 342363.622575114 586413.079922928 112500 46133.193097731 1672590 95180 208650.440064553 535563.022604504 1002661.59508455 554370
2008-04-06 4 36 6 2008 13333255.8786954 523974.078262687 45867.3856579694 166200 889900 1523486.95767781 4992550.87171289 1653435.93882877 620000 572800 964521.82116991 1303780 344454.945885182 446107.724620988 112500 52613.0275816507 1672590 95180 244908.295112634 483119.97064677 1023737.3446407 555345
