CellID GWFraction ReturnFlowFraction NumCrops Long Lat Area StnName StnID
259107 0.35 0 6 -112.84375 42.46875 35.5910517478507 MINAD 51
259108 0.35 0 5 -112.78125 42.46875 35.5910517478507 MINAD 51
259112 0.35 0 8 -112.53125 42.46875 35.5910517478507 AMERI 50
259117 0.35 0 7 -112.21875 42.46875 35.5910517478507 AMERI 50
260001 0.35 0 4 -114.96875 42.53125 35.5554940435732 SNKHI 64
260002 0.35 0 11 -114.90625 42.53125 35.5554940435732 SNKHI 64
260003 0.35 0 13 -114.84375 42.53125 35.5554940435732 SNKHI 64
260004 0.35 0 9 -114.78125 42.53125 35.5554940435732 SNKHI 64
260005 0.35 0 8 -114.71875 42.53125 35.5554940435732 SNKHI 64
260006 0.35 0 12 -114.65625 42.53125 35.5554940435732 SNKHI 64
260007 0.35 0 12 -114.59375 42.53125 35.5554940435732 SNKHI 64
260008 0.35 0 9 -114.53125 42.53125 35.5554940435732 SNKHI 64
260009 0.35 0 8 -114.46875 42.53125 35.5554940435732 SNKHI 64
260010 0.35 0 7 -114.40625 42.53125 35.5554940435732 SNKHI 64
260011 0.35 0 13 -114.34375 42.53125 35.5554940435732 SNKHI 64
260012 0.35 0 9 -114.28125 42.53125 35.5554940435732 SNKHI 64
260013 0.35 0 12 -114.21875 42.53125 35.5554940435732 SNKHI 64
260014 0.35 0 10 -114.15625 42.53125 35.5554940435732 SNKHI 64
260015 0.35 0 11 -114.09375 42.53125 35.5554940435732 SNKHI 64
260016 0.35 0 9 -114.03125 42.53125 35.5554940435732 SNKHI 64
260017 0.35 0 11 -113.96875 42.53125 35.5554940435732 SNKHI 64
260018 0.35 0 10 -113.90625 42.53125 35.5554940435732 MILNE 63
260019 0.35 0 10 -113.84375 42.53125 35.5554940435732 MILNE 63
260020 0.35 0 9 -113.78125 42.53125 35.5554940435732 MILNE 63
260021 0.35 0 9 -113.71875 42.53125 35.5554940435732 MILNE 63
260022 0.35 0 8 -113.65625 42.53125 35.5554940435732 MILNE 63
260023 0.35 0 10 -113.59375 42.53125 35.5554940435732 MILNE 63
260024 0.35 0 7 -113.53125 42.53125 35.5554940435732 MILNE 63
260026 0.35 0 8 -113.40625 42.53125 35.5554940435732 MINAD 51
260027 0.35 0 9 -113.34375 42.53125 35.5554940435732 MINAD 51
260028 0.35 0 7 -113.28125 42.53125 35.5554940435732 MINAD 51
260029 0.35 0 13 -113.21875 42.53125 35.5554940435732 MINAD 51
260030 0.35 0 7 -113.15625 42.53125 35.5554940435732 MINAD 51
260034 0.35 0 8 -112.90625 42.53125 35.5554940435732 MINAD 51
260035 0.35 0 5 -112.84375 42.53125 35.5554940435732 MINAD 51
260036 0.35 0 4 -112.78125 42.53125 35.5554940435732 MINAD 51
260040 0.35 0 6 -112.53125 42.53125 35.5554940435732 AMERI 50
260043 0.35 0 3 -112.34375 42.53125 35.5554940435732 AMERI 50
260044 0.35 0 8 -112.28125 42.53125 35.5554940435732 AMERI 50
260045 0.35 0 9 -112.21875 42.53125 35.5554940435732 AMERI 50
260046 0.35 0 8 -112.15625 42.53125 35.5554940435732 AMERI 50
260872 0.35 0 3 -118.53125 42.59375 35.519894031398 OWYHE 65
260873 0.35 0 3 -118.46875 42.59375 35.519894031398 OWYHE 65
260927 0.35 0 3 -115.09375 42.59375 35.519894031398 BROWN 6
260928 0.35 0 12 -115.03125 42.59375 35.519894031398 BROWN 6
260929 0.35 0 10 -114.96875 42.59375 35.519894031398 BROWN 6
260930 0.35 0 7 -114.90625 42.59375 35.519894031398 SNKHI 64
