Long Lat CellID StnID WRIA_ID StnNum ConveyanceLoss GridArea GW_historical GW_Future ReturnFlow
-116.96875 48.34375 346273 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.90625 48.34375 346274 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.84375 48.34375 346275 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.78125 48.34375 346276 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.71875 48.34375 346277 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.65625 48.34375 346278 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.59375 48.34375 346279 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.53125 48.34375 346280 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.46875 48.34375 346281 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.40625 48.34375 346282 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.34375 48.34375 346283 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.28125 48.34375 346284 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.21875 48.34375 346285 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.15625 48.34375 346286 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-116.09375 48.34375 346287 ALBEN NA 1 0.2 32.0695284940466 0.2 0.2 0
-117.53125 48.28125 345336 ALBEN 62 1 0.2 32.1088332371781 0.2 0.2 0
-117.46875 48.28125 345337 ALBEN 62 1 0.2 32.1088332371781 0.2 0.2 0
-117.40625 48.28125 345338 ALBEN 62 1 0.2 32.1088332371781 0.2 0.2 0
-117.34375 48.28125 345339 ALBEN 62 1 0.2 32.1088332371781 0.2 0.2 0
-117.28125 48.28125 345340 ALBEN 62 1 0.2 32.1088332371781 0.2 0.2 0
-117.21875 48.28125 345341 ALBEN 62 1 0.2 32.1088332371781 0.2 0.2 0
-117.15625 48.28125 345342 ALBEN 62 1 0.2 32.1088332371781 0.2 0.2 0
-117.09375 48.28125 345343 ALBEN 62 1 0.2 32.1088332371781 0.2 0.2 0
-117.03125 48.28125 345344 ALBEN 62 1 0.2 32.1088332371781 0.2 0.2 0
-116.96875 48.28125 345345 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.90625 48.28125 345346 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
-116.84375 48.28125 345347 ALBEN NA 1 0.2 32.1088332371781 0.2 0.2 0
