"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1992-01-26 1 26 26 1992 1539514.78288501 258746.776863143 835636.471089717 1463713.32043028 7343.06760273678 1020281.8
1992-02-02 2 27 2 1992 1755091.7546318 306440.489644152 681300.834071553 1618048.95744845 23227.6051949667 1033129
1992-02-09 2 28 9 1992 1887707.02561882 2321502.92761514 179060.994667847 1959915.66405215 1823739.0166137 1103788.6
1992-02-16 2 29 16 1992 1630828.87944877 1401506.84010063 532865.160176353 1606111.49854365 732739.71482157 1033129
1992-02-23 2 30 23 1992 1632555.35000145 516740.807116044 561165.702006103 1577810.9567139 33006.3914230667 1033129
1992-03-01 3 31 1 1992 1626794.50553902 565726.668897385 837949.413892159 1301027.24482784 30415.7656825518 1033129
1992-03-08 3 32 8 1992 953597.912587812 393228.580111699 598616.595288506 1281758.38679149 32306.6391999025 1103788.6
1992-03-15 3 33 15 1992 721741.715030599 407059.268984858 513013.957437672 1367361.02464233 197.419071853931 1103788.6
1992-03-22 3 34 22 1992 920742.473074105 647208.214266161 299534.729212063 1580840.25286794 71568.9757667887 1126271.2
1992-03-29 3 35 29 1992 1007327.19246584 777553.109602242 430370.88867397 1450004.09340603 201159.568373116 1126271.2
1992-04-05 4 36 5 1992 1168043.7039744 356903.73248656 219198.568032932 1514835.93036707 65024.6985532678 1202283.8
1992-04-12 4 37 12 1992 1761555.52129501 734871.78127651 79966.6663121269 1654067.83208787 185673.210562848 1202283.8
1992-04-19 4 38 19 1992 2002298.98935892 54584.4683496499 279447.355054364 1637011.58190564 7803.36028827733 1202283.8
1992-04-26 4 39 26 1992 3461165.01003824 361046.688110949 228218.993532491 1688239.94342751 0 1202283.8
1992-05-03 5 40 3 1992 3551279.23576382 1603656.08867003 0 2508052.62123475 1250748.47072148 855190.706765249
1992-05-10 5 41 10 1992 3921218.4451927 421090.98621388 262645.445193596 1858289.2360864 0 1263308
1992-05-17 5 42 17 1992 5389241.25027327 551302.417236409 0 2412973.81868548 0 950269.509314523
1992-05-24 5 43 24 1992 6208844.51182459 687451.494725603 305019.046116047 1815915.63516395 0 1263308
1992-05-31 5 44 31 1992 7593150.78466833 816598.504892939 573221.576989129 1547713.10429087 0 1263308
1992-06-07 6 45 7 1992 6490075.60116313 554183.648823443 81086.1661446847 2017797.20937532 0 1082376.6
1992-06-14 6 46 14 1992 5803708.72405297 368747.922228733 91205.7728675809 2007677.60265242 0 1082376.6
1992-06-21 6 47 21 1992 7192546.0842577 184408.000923952 330249.23201161 1768634.14350839 0 1082376.6
1992-06-28 6 48 28 1992 8769430.82875302 0 64557.6333287524 2034325.74219125 0 1082376.6
1992-07-05 7 49 5 1992 16626950.6141432 0 767422.338993519 1307405.06660648 0 907868.8
1992-07-12 7 50 12 1992 6693208.86224007 75207.5692251019 227899.216589147 1846928.18901085 34578.4895172338 907868.8
1992-07-19 7 51 19 1992 6449142.83462688 0 450916.213348727 1623911.19225127 0 907868.8
1992-07-26 7 52 26 1992 5516730.02016342 0 689514.713199132 1385312.69240087 0 907868.8
1992-08-02 8 1 2 1992 3404287.05614659 0 0 2021180.14139681 0 815328.362603194
1992-08-09 8 2 9 1992 2248230.37801077 0 600578.277357265 1341941.29368274 0 913221.8
1992-08-16 8 3 16 1992 477466.171483083 0 346830.614991605 1595688.95604839 0 913221.8
1992-08-23 8 4 23 1992 187698.61618966 16300.0472611534 449911.341543855 1450510.28213614 0 913221.8
1992-08-30 8 5 30 1992 82696.7271222714 60759.7560241913 400980.711952646 1499440.91172735 0 913221.8
1992-09-06 9 6 6 1992 544481.226321295 240989.9809791 812089.475499205 946000.992820795 0 998869.8
1992-09-13 9 7 13 1992 721054.152774489 343637.344293162 926710.360290868 831380.108029132 0 998869.8
1992-09-20 9 8 20 1992 734643.279153878 483675.290261466 776647.659609877 981442.808710123 0 998869.8
1992-09-27 9 9 27 1992 976628.247366206 505718.456371238 875641.043130428 882449.425189572 0 998869.8
1992-10-04 10 10 4 1992 1341711.70019033 588966.049775777 792005.863066016 851818.748133984 61950.0415187782 1136977.2
1992-10-11 10 11 11 1992 1136024.31770882 348420.486622386 759516.661777047 884307.949422953 0 1136977.2
1992-10-18 10 12 18 1992 1088881.1916395 359967.842303944 894857.903779329 748966.707420672 0 1136977.2
1992-10-25 10 13 25 1992 1137214.32713119 469262.270717144 875038.765537357 768785.845662643 0 1136977.2
1992-11-01 11 14 1 1992 1118915.66482395 455382.332708387 819888.61385804 823935.99734196 0 1215131
1992-11-08 11 15 8 1992 1264159.72495132 296261.588796509 221998.076672517 1760614.77756748 91628.6885180704 1215131
1992-11-15 11 16 15 1992 1315382.28109497 280466.976369465 713544.708026604 1269068.1462134 12522.4761881695 1117706.4
1992-11-22 11 17 22 1992 1214659.71085721 246453.530844947 874286.216222871 1108326.63801713 0 1117706.4
1992-11-29 11 18 29 1992 1097909.20315278 322864.893930819 923292.588073671 1059320.26616633 0 1008505.2
1992-12-06 12 19 6 1992 1400900.00023265 566223.310973148 21287.0988422302 2288086.01347777 492650.802173504 1006927.21852223
1992-12-13 12 20 13 1992 1485159.67674075 479382.193699768 255988.674847381 2053384.43747262 311056.912426434 1008505.2
1992-12-20 12 21 20 1992 1631307.0488791 247851.642467613 1109955.42751365 1199417.68480635 0 1008505.2
1992-12-27 12 22 27 1992 1164981.01316046 237673.233786146 996501.283304222 1312871.82901578 0 1008505.2
1993-01-03 1 23 3 1993 1385397.20805376 718806.364087049 886944.749340019 1412405.04217998 140758.932919272 1020281.8
1993-01-10 1 24 10 1993 988515.292471388 77303.7361746885 1368357.26881317 930992.522706829 0 1020281.8
1993-01-17 1 25 17 1993 1074596.80947883 61931.920872935 841384.860189329 1457964.93133067 268.983124917595 1020281.8
1993-01-24 1 26 24 1993 1184474.66649271 59752.6878297072 839006.231132781 1460343.56038722 315.037291301887 1020281.8
1993-01-31 1 27 31 1993 1315949.53867653 131710.331955355 767685.822176131 1531663.96934387 1121.69351059122 1033129
1993-02-07 2 28 7 1993 1041087.2301467 909120.816723632 0 2312567.77647855 658717.25676742 909019.495521451
1993-02-14 2 29 14 1993 928670.477431744 264762.956426727 774987.082791542 1363989.57592846 5015.01345172711 1033129
1993-02-21 2 30 21 1993 688312.972878416 281201.476753815 771594.20573159 1367382.45298841 2606.60003393812 1033129
1993-02-28 2 31 28 1993 506160.188785639 225540.137698393 617372.774109006 1521603.88461099 0 1033129
1993-03-07 3 32 7 1993 203024.08552188 147788.390812809 604678.42695254 1275696.55512746 0 1103788.6
1993-03-14 3 33 14 1993 249642.199510344 190613.709572545 533827.369045245 1346547.61303476 0 1103788.6
1993-03-21 3 34 21 1993 233108.344931356 193652.261225448 221117.536032261 1659257.44604774 0 1126271.2
1993-03-28 3 35 28 1993 451851.442259413 512938.756095234 0 2164537.82464842 223703.290426025 823490.783351579
1993-04-04 4 36 4 1993 768316.645255046 364297.623622507 0 2537034.06449289 15309.6873896636 382115.575507112
1993-04-11 4 37 11 1993 1494435.33785732 379553.187919237 0 2800284.24928017 0 118865.390719827
1993-04-18 4 38 18 1993 1784352.45760564 422329.138041056 0 2916255.30343862 59910.331708759 183512.592561381
1993-04-25 4 39 25 1993 2022019.27157549 145136.352716239 0 2632674.24640078 23462.5867356651 467093.649599219
1993-05-02 5 40 2 1993 1849353.47585377 304227.907355515 7819.77469096007 2113114.90658904 0 1250128.42141096
1993-05-09 5 41 9 1993 1788283.13675641 413183.326227511 0 2706251.79116979 932.499892410995 656991.536830208
1993-05-16 5 42 16 1993 2716938.98056205 637330.236672055 445755.925416603 1675178.7558634 0 1263308
1993-05-23 5 43 23 1993 6260985.90227787 2144164.20205569 0 3410734.17345375 1257266.80082056 0
1993-05-30 5 44 30 1993 7106349.32366489 972657.360413286 0 3084378.71780312 0 278864.610196881
1993-06-06 6 45 6 1993 8670745.47768066 1253703.23326697 0 2458634.65435269 518746.89714322 701844.297647307
1993-06-13 6 46 13 1993 7502455.12136544 927457.375128768 0 3385513.58233368 461860.719808571 0
1993-06-20 6 47 20 1993 5843894.08552963 448758.335006098 0 2940038.67648231 207599.503598469 220440.275517693
1993-06-27 6 48 27 1993 4513541.61779979 0 0 2330124.84309675 0 830354.108903247
