"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN" "CHELA" "JLAKE" "PALIS" "IPARK" "RIRDM" "AMERI" "MINAD" "BOISE" "PAYHS" "OWYHE" "PELTO"
1995-01-22 1 25 22 1995 15330129.3899571 4109505 344133.409245273 779185 3711257.09893719 1852272.99667306 7450294 2107940 1192587 1477573.64133951 499048 1418107 267141.648670648 624837.527502143 106676.60891158 28322.9847276781 461560.111713573 95180 584225.983222635 545414.080675595 370574.682537266 499915.719755288
1995-01-29 1 26 29 1995 15043913.461991 3706187 308941.944745271 741641 3672935.9181709 1774664.20423598 7450294 2107002.63991798 1160891 1480277 499048 1407713 272178.378178358 640166.850240086 112590.616834377 28828.3502762759 493761.095795547 95180 592701.091038471 547523.590998016 370844.065064049 489240.880780437
1995-02-05 2 27 5 1995 14775217.9517856 3302868 280206.823306854 704096 3641158.29684651 1706865.41236 7450294 2107940 1129195 1421130 499048 1397320 277262.983134241 654440.304528442 117900 29097.8862929347 524453.934888153 95180 622888.404993681 565415.971828593 385844.506157865 532034
1995-02-12 2 28 12 1995 14578443.8915751 2602680.92306676 271444.476102414 670000 3611402.26612059 1667444.31945517 7091088 2102386 1117691 1297560 499048 1386927 282325.861811492 668825.529707017 117600 29565.3342631726 568016.736226213 95180 661797.745330556 583203.57543091 398760.600176701 528843
1995-02-19 2 29 19 1995 14306402.9456965 2683827 227303.815399006 626375 3554942.94639645 1624224.57206516 6731882 2096833 1106187 1173990 499048 1376533 287332.991132555 682231.928769097 117400 30138.2224076326 601337.808736325 95180 688399.523104795 593639.503217016 408238.31149448 525652
1995-02-26 2 30 26 1995 14119864.8923536 2662953.3899346 227084.046467182 582750 3545959.5401651 1630038.24666509 6372675 2166804.67545826 1094683 1050419 499048 1366140 292259.345717725 699621.186667712 117749.162129724 31935.4953331031 673311.890344467 91831.304915905 744345.765287061 610000 420654.483640939 522461
1995-03-05 3 31 5 1995 13943581.4184886 2629829.14746514 223647.698541726 539125 3519053.51866717 1612648.84667449 6013469 2097341.66690176 1020000 926849 499048 1355747 296447.437670525 710999.466500327 118614.150420427 33924.9911798841 743769.971679826 93645.1913161819 713146.711821113 610000 428900.946474664 519270
1995-03-12 3 32 12 1995 13769455.0718271 2589468.49263134 220832.367940688 495500 3486489.01026188 1601145.05666178 5872447.80129967 2096634 995000 838337 499048 1345353 300377.863131824 719754.813434758 119162.494065685 35683.9115956846 782105.077655795 92010.1639332005 711443.152120922 610000 434181.659153397 528045
1995-03-19 3 33 19 1995 13610545.7529679 2544523.43535981 232857.684426474 413175 3496731.72263219 1617128.73969572 5904181.80129967 2107543 970000 749825 499048 1334960 305151.261483944 755262.965962406 120168.327784744 38518.6144606111 876847.797279332 89235.1511979355 704460.27517353 610000 440613.854367089 536820
1995-03-26 3 34 26 1995 13448087.272355 2515526.3399136 241346.682295666 330850 3478693.33937135 1608173.05669629 5929966.80129967 2118452 945000 661312 499048 1324567 310275.613629244 786951.112611676 119870.651451017 41429.2482287158 982665.119614245 95180 685856.764443902 610000 446255.340714545 545595
1995-04-02 4 35 2 1995 13357584 2475094.17819054 253139.2541021 248525 3474809.07620448 1599917.38538647 5966658.80129967 2129361 920000 572800 499048 1314173 313990.129622621 795915.138585569 120174.636011109 44282.3895169463 1022868.43625459 95180 666768.242141521 594703.26150176 450221.514532295 554370
1995-04-09 4 36 9 1995 13267607.9954409 2540733.92913333 266964.681313665 166200 3497150.0191409 1619236.85923291 5977369.80129967 2186386 894231.222997471 572800 499048 1303780 323041.669090789 843251.963826606 121309.563052057 51402.198851146 1087988.20251882 76688.642867863 689307.058894879 571412.390923286 455435.723224263 555345
1995-04-16 4 37 16 1995 13172437.2515519 2586190.4764264 278267.216231321 191341 3501709.40745555 1614769.04051124 5612598.94236967 2243411 868462.445994942 572800 499048 1293387 335653.859020219 822684.12678939 121394.938022995 57183.1279699883 1244999.79277051 74681.801579361 680658.554158469 548154.477698616 460572.93784016 556320
1995-04-23 4 38 23 1995 13106668.6005572 2639644.10833751 290273.341077716 216482 3501058.35107375 1629308.51080089 5247828.08343966 1909798.53754748 842693.668992412 578307.767509441 630751 1282993 343038.140764458 696961.759448178 120785.938345196 62836.1045732924 1481909.18569053 77040.991641123 655552.392439641 523942.611981874 464663.024695999 557295
