"date" "month" "week" "day" "year" "FirmEnergy" "NonFirmEnergy" "ColFallsFlow" "LowerGraniteFlow" "VernitaBarFlow" "McNaryFlow" "GCRec" "DallesFlood" "IHNav" "BonnevillFlow" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "TotalSysEnergy" "BonnevilleFlow"
1987-08-16 8 3 16 1987 0 869261.916555625 0 25745.2592363765 0 27526.4116523881 0 0 77349.1698885648 0 3160284.6059739 67315034.64 NA 1957300.60744438 0
1987-08-23 8 4 23 1987 0 875983.77821455 0 28191.0554702745 0 42631.8433445522 0 0 80000.925825557 0 3527357.75328728 65856194.88 NA 1908897.60978545 0
1987-08-30 8 5 30 1987 0 879472.293131542 0 28462.0773168701 0 21388.6022677653 0 0 79857.6614213864 0 3641713.51827095 65856194.88 NA 1905409.09486846 0
1987-09-06 9 6 6 1987 63539.4411412852 987991.02 0 0 0 0 0 0 87568.6077272063 0 4007524.1639557 58639122.752935 NA 1675403.50722671 0
1987-09-13 9 7 13 1987 168289.13952764 987991.02 0 0 5951.56989217303 0 1.11435194820206 0 85443.1495131727 0 4353962.5571382 54972883.3094126 NA 1570653.80884036 0
1987-09-20 9 8 20 1987 306415.805157177 987991.02 0 0 17989.147080294 0 0 0 84308.3605532135 0 4645010.401518 50138450.0123788 NA 1432527.14321082 0
1987-09-27 9 9 27 1987 247830.436109104 987991.02 0 0 6745.72575363392 0 0 0 85151.8996209441 0 4863460.08280668 52188937.9290614 NA 1491112.5122589 0
1987-10-04 10 10 4 1987 295457.085589564 1124594.28 1386.91037357797 0 17567.9071731863 0 0 0 87334.6551736313 0 4843302.37617118 46566256.9851653 NA 1330464.48529044 0
1987-10-11 10 11 11 1987 307572.523183858 1124594.28 2224.35419224201 0 14704.097484026 0 0 0 89551.1627151243 0 4741451.58301181 46142216.669365 NA 1318349.04769614 0
1987-10-18 10 12 18 1987 408196.151197036 1124594.28 1966.22212312424 0 21965.7997776362 0 0 0 89609.3656098201 0 4753067.18384416 42620389.6889037 NA 1217725.41968296 0
1987-10-25 10 13 25 1987 296797.964113139 1124594.28 2144.65976418248 0 16834.1260679307 0 0 0 86224.9872475296 0 4770149.55915076 46519326.2368402 NA 1329123.60676686 0
1987-11-01 11 14 1 1987 239919.123370598 1201896.9 2267.31262058129 0 14923.7396117523 0 0 0 82258.1366060769 0 4824537.43090512 48510085.6628291 NA 1386002.4475094 0
1987-11-08 11 15 8 1987 252421.306433915 1201896.9 2022.06012865838 0 0 0 0 0 91595.6627482515 0 5028722.41121643 59800955.708973 NA 1708598.73454209 0
1987-11-15 11 16 15 1987 144211.880099264 1105533.36 2162.73669042692 0 0 0 0 0 85479.5071322665 0 5614143.43416459 63588285.6306857 NA 1816808.16087674 0
1987-11-22 11 17 22 1987 129232.803388329 1105533.36 0 0 0 0 0 0 77412.4533375935 0 6001352.52000657 64112553.3155685 NA 1831787.23758767 0
1987-11-29 11 18 29 1987 342468.810927899 997521.48 0 0 3163.90051147441 0 0 0 87075.7556250188 0 6459055.79253688 56649293.0516835 NA 1618551.2300481 0
1987-12-06 12 19 6 1987 0 988210.759151435 0 0 0 0 0 0 88359.6623619697 0 6380518.3569117 80027781.12 NA 2295818.75284857 0
1987-12-13 12 20 13 1987 0 610832.56331071 0 0 0 0 0 0 71662.7421325067 0 6978976.84779585 80027781.12 NA 2673196.94868929 0
1987-12-20 12 21 20 1987 0 912858.837618337 0 0 0 0 0 0 75515.3472438401 0 7380826.2314501 80027781.12 NA 2371170.67438166 0
1987-12-27 12 22 27 1987 0 886564.835949757 0 0 0 0 0 0 86342.0717997006 0 7554348.49127953 80027781.12 NA 2397464.67605024 0
1988-01-03 1 23 3 1988 0 549281.825514465 0 0 0 0 0 0 81037.5094711418 0 8939831.42708491 79680438.32 NA 2736471.94648553 0
1988-01-10 1 24 10 1988 425558.458476848 1009169.82 0 0 0 0 11.8393183221456 0 82629.4840480272 0 10777987.7915555 64706211.8349903 NA 1848748.90957115 0
1988-01-17 1 25 17 1988 419113.333806797 1009169.82 0 0 0 0 11.8393183221458 0 77307.4985275396 0 11534096.9012587 64931791.1984421 NA 1855194.0342412 0
1988-01-24 1 26 24 1988 283203.589494743 1009169.82 0 0 0 0 11.8393183221458 0 74692.5330877487 0 12464078.760656 69688632.249364 NA 1991103.77855326 0
1988-01-31 1 27 31 1988 320452.378712449 1021877.1 0 0 0 0 11.8393183221458 0 79794.6199161751 0 13441093.4786269 68384924.6267443 NA 1953854.98933555 0
1988-02-07 2 28 7 1988 0 362688.001665388 0 0 0 0 11.8393183221458 0 80566.4463263599 0 14392579.1779485 74122953.52 NA 2846877.81033461 0
1988-02-14 2 29 14 1988 238194.097294356 1021877.1 0 0 0 0 15.6243234501346 0 81932.9493160084 0 16357691.5888635 65712037.1611775 NA 1877486.77603364 0
1988-02-21 2 30 21 1988 550209.731523886 1021877.1 0 0 15625.9768697363 0 9.77855261583636 0 72921.9994035261 0 17237264.6272062 54791489.963144 NA 1565471.14180411 0
1988-02-28 2 31 28 1988 604389.4740374 1021877.1 0 0 13008.3834194568 0 3.36381831342737 0 79620.5858423556 0 17414917.9095291 52895198.975171 NA 1511291.3992906 0
1988-03-06 3 32 6 1988 519361.344019692 1091767.14 555.231904034485 0 18627.2992428841 0 0 0 74199.0734579548 0 17329927.2184157 46918700.7300308 NA 1340534.30657231 0
1988-03-13 3 33 13 1988 372741.21554655 1091767.14 1423.21459848973 0 7004.00562707101 0 0 0 71553.5970572659 0 17136409.9882462 52050405.2265907 NA 1487154.43504545 0
1988-03-20 3 34 20 1988 504924.572718459 1114004.88 1194.75446990916 0 10387.7973569988 0 0 0 79722.353559551 0 17160671.8746826 47423987.7255739 NA 1354971.07787354 0
1988-03-27 3 35 27 1988 223580.198035968 1114004.88 0 0 0 0 0 0 74916.4957866947 0 17206642.811667 57271040.8394611 NA 1636315.45255603 0
1988-04-03 4 36 3 1988 0 1117734.65289345 0 0 0 0 0 0 66796.015143233 0 20072914.2717629 60090304.4 NA 1788320.80710655 0
1988-04-10 4 37 10 1988 0 1179390.59432453 0 64133.6155472704 53881.5765874988 0 0 0 75537.1861552555 0 20280111.769623 60090304.4 NA 1726664.86567547 0
1988-04-17 4 38 17 1988 16361.9126453085 1189189.62 0 58791.3866078919 37556.6976762215 22097.499540819 0 0 77165.2676769963 0 20860429.8074092 65772864.4740542 NA 1879224.69925869 0
1988-04-24 4 39 24 1988 0 1118951.40960968 0 29026.517699276 52890.7950668771 15801.0387861505 4.52589820144067 0 37890.0195739112 0 21287149.0187367 66411943.36 NA 1967722.30639032 0
1988-05-01 5 40 1 1988 0 79910.0705713218 0 34651.4200875392 0 0 0 0 36011.928801616 0 19340978.4120047 73497736.48 NA 3269574.45742868 0
1988-05-08 5 41 8 1988 0 0 0 40118.0615671893 0 0 0 0 45001.2394436157 0 18698025.5135566 73497736.48 NA 3499398.7192583 0
1988-05-15 5 42 15 1988 0 1213288.87373612 0 39558.1925668633 36017.9368257644 38420.7893446564 10.1744334827947 0 55418.414256288 0 19938234.8923426 73497736.48 NA 2136195.65426388 0
1988-05-22 5 43 22 1988 0 1213827.82346212 0 23198.328354598 25736.9124710101 0 13.6231144722258 0 29606.6177399155 0 19070662.133266 73497736.48 NA 2135656.70453788 0
1988-05-29 5 44 29 1988 0 1213391.00048893 0 23078.7892165002 37368.7356300363 0 0 0 32703.8150859674 0 16388253.6095763 73497736.48 NA 2136093.52751107 0
1988-06-05 6 45 5 1988 0 0 0 16076.348462294 0 0 0 0 27221.1114785014 0 14331647.427788 72733582.32 NA 3224196.66186608 0
1988-06-12 6 46 12 1988 0 1020010.54817227 0 29382.759454339 49128.1224266166 0 0 0 30586.407582691 0 12593769.9528965 72733582.32 NA 2128680.14382773 0
1988-06-19 6 47 19 1988 0 201820.398778808 0 50184.9215475112 0 0 0 0 61535.0453830313 0 10001120.7041729 72733582.32 NA 2946870.29322119 0
1988-06-26 6 48 26 1988 0 1054735.98775557 0 23223.8083238755 41390.0448598115 19452.2108847952 0 0 69785.2080949856 0 8887597.89627074 72733582.32 NA 2093954.70424443 0
1988-07-03 7 49 3 1988 0 846982.593100214 0 19015.7732828273 0 0 0 0 66967.9045875685 0 7274632.21418289 71899959.6 NA 2105283.08689979 0
1988-07-10 7 50 10 1988 66062.8531509342 897981.12 0 21391.1837118006 0 12383.8542654413 0 0 67827.8499759123 0 5702645.10205711 69515859.7801173 NA 1986167.42228907 0
1988-07-17 7 51 17 1988 0 881492.901325223 0 25472.0860686679 0 7961.61445192213 0 0 73096.8710328119 0 4563797.59967586 71899959.6 NA 2070772.77867478 0
1988-07-24 7 52 24 1988 0 886176.229731287 0 27440.9022453608 0 7977.90575086136 0 0 74963.8487119233 0 4298966.34542793 71899959.6 NA 2066089.45026871 0
1988-07-31 7 52 31 1988 5485.65320178727 897981.12 529.085041469955 42947.5245737419 0 28958.0652536709 0 0 91736.7335587138 0 4513860.82985096 71636061.7783374 NA 2046744.62223821 0
1988-08-07 8 1 7 1988 40873.9680873409 903275.82 581.110936062029 41402.1389706628 0 39145.3336557609 0 0 87581.8257827322 0 5119869.69024736 65817130.7223031 NA 1880489.44920866 0
1988-08-14 8 2 14 1988 26882.2030250099 903275.82 1338.98483045312 39839.8624046157 0 35733.0362156631 0 0 85911.674544035 0 5487320.90992271 66306842.4994846 NA 1894481.21427099 0
1988-08-21 8 3 21 1988 966637.723174745 903275.82 1476.78332198492 40906.687465234 22503.9698829209 76284.0934867085 0 0 87027.6582091215 0 5791483.17424381 33415399.2942439 NA 954725.694121255 0
1988-08-28 8 4 28 1988 693257.934569841 903275.82 1442.45871817311 40568.4295371269 6856.45614758117 65157.0382867855 0 0 86763.7294717188 0 5719642.31400892 41526310.9751756 NA 1186466.02786216 0
1988-09-04 9 5 4 1988 663031.576078161 903275.82 1973.8510033297 40708.9585911037 15141.0128997975 68814.0089856528 0 0 86826.7963643143 0 5851535.02915603 42584233.5223844 NA 1216692.38635384 0
1988-09-11 9 6 11 1988 576534.570205824 987991.02 1145.45786779117 0 28174.7330911616 0 0 0 90790.754258285 0 6155124.21644696 40684293.2356761 NA 1162408.37816218 0
1988-09-18 9 7 18 1988 518698.644515416 987991.02 209.88366600226 0 17668.2639865351 0 1.11435194820206 0 90113.3601858468 0 6315208.15414336 42708550.6348404 NA 1220244.30385258 0
1988-09-25 9 8 25 1988 256769.739229237 987991.02 0 0 4529.42349532559 0 0 0 92075.9405917919 0 6424310.19564045 51876062.3198567 NA 1482173.20913876 0
1988-10-02 10 9 2 1988 182487.134926487 987991.02 0 0 0 0 0 0 86202.0338460651 0 6469410.5041578 54475953.4704529 NA 1556455.81344151 0
1988-10-09 10 10 9 1988 146693.181917985 1124594.28 2130.014298575 0 0 0 0 0 91650.2740320705 0 6133050.91806827 51772993.6136705 NA 1479228.38896202 0
