"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1985-06-02 6 44 2 1985 1304989.28193959 0 0 0 0 0 61481.868996874 0 NA 0 NA NA 0 0 0 363340.996528255 85450.4178196361 1928338.82741968
1985-06-09 6 45 9 1985 1205063.33435506 0 3214.55923262425 3214.55923262425 3214.55923262425 50040.8873488707 63641.869835695 4969.26743585129 NA 0 NA NA 0 0 0 392487.483328219 225666.131177576 1508414.90528019
1985-06-16 6 46 16 1985 1833471.35089837 0 678644.756425284 645129.797522395 38041 0 66851.63289223 1.86264514923096e-09 NA 0 NA NA 42387.4654412689 0 42387.4654412689 431716.745788387 -156292.537335515 1449944.24228295
1985-06-23 6 47 23 1985 1552078.33863776 0 587868.685909707 529863.877605612 19021 0 64845.872568214 6.51925802230835e-09 NA 0 NA NA 1.86264514923096e-09 1.86264514923096e-09 0 461987.763566869 -185576.911630109 713489.087474656
1985-06-30 6 48 30 1985 1355987.84325119 0 545486.887236592 541155.236014592 0 0 72300.878004197 0 NA 0 NA NA 0 0 0 479501.611395825 -262498.472647183 845101.15644305
1985-07-07 7 49 7 1985 1121072.95392928 0 325311.865482386 214357.320569701 0 0 52324.694008673 0 NA 0 NA NA 0 0 0 501667.715657606 -200994.332553858 516425.29283888
1985-07-14 7 50 14 1985 696861.615699459 0 144352.497748361 71788 0 0 60395.620171369 0 NA 0 NA NA 0 0 0 536287.292821563 -182921.225602422 833703.343128877
1985-07-21 7 51 21 1985 659119.620362996 0 175387 175387 0 0 67456.805563612 0 NA 5601.66648415022 NA NA 0 0 0 597256.113977499 -191393.255039879 907729.298222135
1985-07-28 7 52 28 1985 1298160.24654812 0 278985 278985 278985 0 66387.771960323 0 NA 0 NA NA 0 0 0 580266.288435771 -195713.361825047 627434.345408394
1985-08-04 8 1 4 1985 1290433.78934356 0 210759 0 0 0 111068.412926648 0 NA 0 NA NA 0 0 0 10000066387.7485 1404.0700492761 804922.244964829
1985-08-11 8 2 11 1985 1574002.86454663 0 117737.94974452 0 0 0 75997.3819591167 0 NA 0 NA NA 0 0 0 10000048379.0065 -6431.71235358322 497126.940713811
1985-08-18 8 3 18 1985 1224022.91184462 0 0 0 0 0 93441.3746689079 0 NA 0 NA NA 0 0 0 10000046980.9569 -66495.2200425516 979634.226828752
1985-08-25 8 4 25 1985 1363483.47004691 0 7308 0 0 0 112747.863796409 0 NA 0 NA NA 0 0 0 10000045694.3044 -51373.2163652406 976704.693266337
1985-09-01 9 5 1 1985 1379931.06247814 0 14618 0 0 0 128640.607159743 0 NA 0 NA NA 1.86264514923096e-09 0 0 10000040216.7721 -63526.4028310773 915719.415033332
1985-09-08 9 6 8 1985 1611778.16341717 0 101593 0 0 0 123871.243988664 0 NA 0 NA NA 0 0 0 10000035264.5125 11459.88980793 389214.580226635
1985-09-15 9 7 15 1985 1849073.17895623 0 163311 0 0 0 76106.048638559 0 NA 0 NA NA 0 0 0 10000035981.002 327120.043096108 803585.764083848
1985-09-22 9 8 22 1985 1964562.40396361 0 330480.58282084 0 0 0 69156.336902108 0 NA 0 NA NA 0 0 0 10000037195.6997 212184.522677789 1029929.65196397
1985-09-29 9 9 29 1985 1682921.41986852 0 292713.12644313 0 0 0 100134.585921843 0 NA 0 NA NA 0 0 0 10000038423.9297 75764.8329582205 500734.460305781
1985-10-06 10 10 6 1985 1698764.68314888 0 169511.761110898 0 0 0 70243.542910397 0 NA 0 NA NA 0 0 0 10000039652.1974 88808.2783080876 293436.9827954
1985-10-13 10 11 13 1985 1819808.34120603 0 171376.321522359 0 0 0 75305.335410672 0 NA 0 NA NA 0 0 0 10000040927.9876 149780.204931352 393424.144983044
1985-10-20 10 12 20 1985 1797281.05874531 0 279567.867459069 0 0 0 70420.937082902 0 NA 0 NA NA 0 0 0 10000042203.7401 167789.490730795 312235.102503633
1985-10-27 10 13 27 1985 1723075.25729465 0 290548.713959023 0 0 0 75623.218790716 0 NA 0 NA NA 0 0 0 10000043479.5303 277872.20625893 455126.867858846
1985-11-03 11 14 3 1985 1448256.25573655 0 405752.082377637 960849.066671875 163554 0 65516.452100336 0 NA 0 NA NA 0 0 0 10000042681.9822 292848.768702427 616738.108635332
1985-11-10 11 15 10 1985 2567888.28102265 0 485708.949326481 965063.196400532 163554 0 77273.557697922 0 NA 0 NA NA 0 0 0 10000039866.1617 150979.238813515 758023.438004179
1985-11-17 11 16 17 1985 1738326.05370757 0 224553.273109235 437468.204366214 163554 0 79043.918522876 0 NA 0 NA NA 0 0 0 10000024951.7986 149821.89833679 693753.938048512
